"MlsNumber","LivingArea","YearBuilt","MunicipalTax","SchoolTax","CondoFees","HeatingEnergy","HeatingSystem","Proximity","SewageSystem","LotAssessment","BuildingAssessment","Pool","View","Garage","Parking","Zoning","WaterSupply","LotDepth","LotFrontage","Area","MunicipalAssessment","FloorCovering","Topography","Insurance"
"28451647","1,002 Square Feet","1990","$2,101, (2014)","$386, (2014)","$160",,,,"Municipal sewer","$34,000","$230,900",,,,"Carport",,,,,,,,,
"28487087","1,440 Square Feet","1930","$2,636, (2014)","$1,000, (2013)","$600","Natural gas, Electricity","Space heating baseboards, Hot water",,"Municipal sewer",,,,,,"Outdoor","Residential",,,,,,,,
"28499233","3,161 Square Feet",,,,"$19,980","Bi-energy","Air circulation","University","Municipal sewer",,,"Other - Indoor Uv Flitered",,"Pool","Garage","Residential",,,,,,,,
"28530704","985 Square Feet",,,,"$12","Electricity","Electric baseboard units","University, Public transport","Municipal sewer",,,"Indoor, Heated","City",,,"Residential",,,,,,,,
"28549565",,,,,,,,,"Municipal sewer",,,,,,,,,,,,,,,
"28594609","851 Square Feet",,,,"$3,672","Electricity","Electric baseboard units",,"Municipal sewer",,,,"Water",,,,,,,,,,,
"28612750","602 Square Feet",,,,"$3,348",,,"University, Public transport","Municipal sewer",,,"Inground, Indoor",,"Pool","Garage",,,,,,,,,
"28616077","535 Square Feet",,,,"$3,060",,,"University, Public transport","Municipal sewer",,,"Inground, Indoor",,"Pool","Garage",,,,,,,,,
"28646033","2,218 Square Feet","1958","$3,842, (2014)","$802, (2014)",,"Electricity","Electric baseboard units","Public transport, Park - green area","Municipal sewer","$159,400","$311,100",,,"Single width, Proximity","Outdoor, Garage","Residential",,,,,,,,
"28663100",,"1959","$4,858, (2014)","$773, (2013)",,,"Other - Bi-Enery",,"Municipal sewer","$183,000","$285,200",,,"Sewage System","Outdoor","Residential",,,,,,,,
"28730742","840 Square Feet","2012","$2,717, (2014)","$581, (2014)","$3,564","Electricity","Electric baseboard units","Public transport","Municipal sewer","$33,000","$287,800","Inground","Other - Courtyard,pool","Heated, Pool","Garage","Residential",,,,,,,,
"28741870","700 Square Feet","2011","$1,943, (2014)","$419, (2014)","$2,460",,,,"Municipal sewer","$32,800","$198,000",,,,,"Residential",,,,,,,,
"28759685",,"1984","$15,048, (2014)","$2,458, (2014)",,"Electricity",,"Public transport","Municipal sewer","$468,100","$844,500",,,"Heated, Double width or more, Proximity","Garage","Residential",,,,,,,,
"28763797","83 Square metres","2012",,,"$137","Electricity","Electric baseboard units","Public transport","Municipal sewer",,,,,,,"Residential",,,,,,,,
"28778946",,"1962","$3,196, (2014)","$277, (2014)",,"Electricity","Air circulation","Public transport, Park - green area","Municipal sewer","$183,500","$134,800",,,"Double width or more, Proximity","Outdoor, Garage","Residential",,,,,,,,
"28858098",,"1946","$5,148, (2014)","$322, (2014)",,,,,"Municipal sewer","$107,300","$80,700",,,,,"Commercial",,,,,,,,
"28902913","1,155 Square Feet",,,,"$1","Electricity","Electric baseboard units","University, Public transport","Municipal sewer",,,"Indoor, Heated","Panoramic, City",,,"Residential",,,,,,,,
"28944653","753 Square Feet","2006","$1,985, (2013)","$386, (2013)","$840",,,,,"$26,700","$180,500",,,,"New Construction:, No",,,,,,,,,
"28972037","2,660 Square Feet","1962","$3,592, (2014)","$755, (2014)",,"Electricity","Electric baseboard units","Public transport","Municipal sewer","$84,600","$285,000",,,"Single width, Proximity","Outdoor","Residential",,,,,,,,
"28975212","602 Square Feet",,,,"$2,568",,,"University","Municipal sewer",,,"Inground",,,,,,,,,,,,
"28986159","850 Square Feet","2006","$1,504, (2014)","$342, (2014)","$1,584","Electricity","Electric baseboard units","Public transport, Park - green area","Municipal sewer","$30,200","$165,000",,,"Single width, Proximity","Garage","Residential",,,,,,,,
"8581147","737 Square Feet","1913","$2,693, (2012)","$570, (2012)","$1,800","Electricity","Space heating baseboards","University","Municipal sewer","$19,500","$247,833",,,,,"Residential",,,,,,,,
"8644982","2,903 Square Feet",,,,"$8,712","Electricity","Electric baseboard units","University, Public transport","Municipal sewer",,,,"Water","Proximity","Garage","Residential",,,,,,,,
"8764728","73 Square metres","1995","$1,232, (2014)","$248, (2013)","$876","Electricity","Electric baseboard units",,"Municipal sewer",,"$155,300",,,,"Outdoor",,,,,,,,,
"9022066","872 Square Feet","1926","$2,102, (2012)","$461, (2012)","$2,724",,"Electric baseboard units","University, Public transport","Municipal sewer",,,,,,,,,,,,,,,
"9038512","988 Square Feet","1967","$2,619, (2014)","$428, (2014)","$6,024","Natural gas, Electricity",,,"Municipal sewer","$43,800","$197,000","Inground, Indoor",,"Heated, Pool","Garage","Residential",,,,,,,,
"9042856",,,"$5,054, (2014)","$594, (2014)",,,,,"Municipal sewer","$413,400",,,,,,"Residential",,,,,,,,
"9056684",,"1980","$6,123, (2014)","$1,301, (2014)",,"Electricity","Electric baseboard units","Public transport","Municipal sewer","$258,000","$454,100","Inground","Other - Ferland Park","New Construction:, No, Pool","New Construction:, No, Outdoor","Residential",,,,,,,,
"9089315","1,282 Square Feet","1915","$3,483, (2014)","$764, (2014)","$4,164",,,,"Municipal sewer","$42,800","$367,600",,,"New Construction:, No, Sewage System","New Construction:, No, Garage","Residential",,,,,,,,
"9102532","744 Square Feet","2005","$1,485, (2014)","$335, (2014)","$2,004","Electricity","Electric baseboard units","Public transport, Park - green area","Municipal sewer","$17,900","$166,700",,,"Fitted, Proximity","Garage","Residential",,,,,,,,
"9103625","5,251 Square Feet","1967","$8,999, (2014)","$2,219, (2014)",,"Propane","Hot water, Electric baseboard units","Public transport, Park - green area","Septic tank","$711,400","$450,000","Other - Closed, Indoor","Other - View on Golf, Water Supply","Heated, Fitted, Pool","Outdoor, Garage","Residential",,,,,,,,
"9133867","892 Square Feet",,,,"$3,324","Electricity","Space heating baseboards","University, Public transport","Municipal sewer",,,"Other - Sauna and Gym, Inground",,,,"Residential",,,,,,,,
"9135609",,"1990","$4,886, (2014)","$994, (2014)",,"Electricity","Electric baseboard units","Public transport","Municipal sewer","$156,600","$390,100",,,"New Construction:, No, Proximity","New Construction:, No, Outdoor","Residential",,,,,,,,
"9139535","1,048 Square Feet","2005","$3,838, (2013)","$835, (2013)","$4,848","Electricity","Electric baseboard units","Public transport, Park - green area","Municipal sewer","$35,100","$419,500","Inground","City","New Construction:, No, Single width, Heated, Pool","New Construction:, No, Garage","Residential",,,,,,,,
"9146337",,"1975","$74,807, (2014)","$3,837, (2014)",,,,,"Municipal sewer","$991,100","$1,655,900",,,,,"Commercial",,,,,,,,
"9160483","1,070 Square Feet",,,,"$3,048","Electricity","Electric baseboard units","University","Municipal sewer",,,,,,,,,,,,,,,
"9166079",,,"$8,379, (2014)","$1, (2014)",,,,"Public transport, Park - green area","None","$766,833","$275,800",,,,,"Residential",,,,,,,,
"9168766","3,000 Square Feet","1948","$2,606, (2013)","$550, (2013)",,"Electricity","Space heating baseboards, Electric baseboard units","University","Municipal sewer","$148,600","$183,000",,,,,"Residential",,,,,,,,
"9203766","903 Square Feet",,,,"$3,156","Electricity","Space heating baseboards","University, Public transport","Municipal sewer",,,"Other - Sauna and Gym, Inground",,,,"Residential",,,,,,,,
"9235536","851 Square Feet",,,,"$4,452","Electricity","Electric baseboard units",,"Municipal sewer",,,,"Water","Sewage System","Garage",,,,,,,,,
"9238796","657 Square Feet",,,,"$1","Electricity","Electric baseboard units","University, Public transport","Municipal sewer",,,"Indoor, Heated","City",,,"Residential",,,,,,,,
"9296171","1,764 Square Feet","1988",,,,"Electricity","Electric baseboard units","Public transport","Municipal sewer",,,"Inground, Indoor",,"Single width, Pool","Garage","Residential",,,,,,,,
"9381097","5,500 Square Feet","1928","$8,995, (2014)","$1,937, (2014)",,"Electricity","Space heating baseboards","Public transport, Other - A Few Steps From Monkland Ave.","Municipal sewer","$315,400","$849,500",,,,"Outdoor","Residential",,,,,,,,
"9451002",,"1962","$4,442, (2014)","$943, (2014)",,"Heating oil","Hot water",,"Municipal sewer","$174,800","$356,000",,,"Double width or more, Sewage System","Outdoor","Residential",,,,,,,,
"9484895","1,086 Square Feet","1967","$2,816, (2014)","$450, (2014)","$7,068","Natural gas",,,"Municipal sewer","$45,500","$213,400","Inground","Panoramic","Single width, Heated, Pool","Garage","Residential",,,,,,,,
"9492228","1,350 Square Feet",,,,"$6,612","Electricity","Electric baseboard units",,"Municipal sewer",,,"Indoor","Water","Pool","Garage",,,,,,,,,
"9522976","1,037 Square Feet",,,,"$3,624","Electricity","Space heating baseboards","University","Municipal sewer",,,"Other - Sauna and Gym",,,,"Residential",,,,,,,,
"9556484","890 Square Feet",,,,"$3,648","Electricity","Electric baseboard units","University","Municipal sewer",,,,,,,,,,,,,,,
"9566004","978 Square Feet",,,,"$3,360","Electricity","Space heating baseboards","University","Municipal sewer",,,"Other - Sauna and Gym",,,,"Residential",,,,,,,,
"9569403","1,160 Square Feet","2011","$2,422, (2013)","$509, (2013)","$2,376","Electricity","Electric baseboard units","Public transport","Municipal sewer",,,,,,,,,,,,,,,
"9584287","985 Square Feet",,,,"$3,276","Electricity","Space heating baseboards","University","Municipal sewer",,,"Other - Sauna and Gym",,,,"Residential",,,,,,,,
"9621637","1,080 Square Feet","1967","$5,004, (2014)","$509, (2014)","$6,948",,"Hot water",,"Municipal sewer","$50,900","$255,000","Heated",,"Pool","Garage","Residential",,,,,,,,
"9628978","912 Square Feet","2012",,,"$3,084","Electricity","Space heating baseboards","University, Public transport","Municipal sewer",,,"Other - Sauna and Gym, Inground",,,,"Residential",,,,,,,,
"9661054","1,288 Square Feet","2005","$3,440, (2014)","$508, (2014)",,"Electricity","Electric baseboard units","Public transport, Park - green area","Municipal sewer","$98,500","$213,700",,,"Fitted, Proximity","Outdoor, Garage","Residential",,,,,,,,
"9667932","1,620 Square Feet",,,,"$1","Electricity","Electric baseboard units","University, Public transport","Municipal sewer",,,"Indoor, Heated","Panoramic, City",,,"Residential",,,,,,,,
"9671802","1,010 Square Feet","2005","$4,266, (2014)","$985, (2013)","$4,740","Electricity","Space heating baseboards, Electric baseboard units","University, Public transport","Municipal sewer",,,"Inground","Panoramic",,"Vignette","Residential",,,,,,,,
"9685913","1,044 Square Feet","2006","$2,966, (2014)","$624, (2015)","$2,784","Electricity","Electric baseboard units","Public transport","Municipal sewer","$40,700","$290,600","Other","Other","Single width, Pool","Garage","Residential",,,,,,,,
"9716592","701 Square Feet",,,,"$3,720",,,"University, Public transport","Municipal sewer",,,"Inground, Indoor",,"Pool","Garage",,,,,,,,,
"9755943",,"1963",,,,"Natural gas","Air circulation","Public transport","Municipal sewer",,,,,"Fitted, Attached, Proximity","New Construction:, No, Outdoor","Residential",,,,,,,,
"9852698","1,060 Square Feet","1913","$2,837, (2013)","$636, (2014)","$3,252","Electricity","Electric baseboard units",,"Municipal sewer","$66,600","$295,600",,,"Other - Exterior, Sewage System","Garage","Residential",,,,,,,,
"9867945","4,950 Square Feet","1953","$3,652, (2013)","$727, (2013)",,"Electricity","Space heating baseboards, Electric baseboard units","University","Municipal sewer","$229,400","$232,900",,,,,"Residential",,,,,,,,
"9885712","892 Square Feet",,,,"$3,276","Electricity","Space heating baseboards","University, Public transport","Municipal sewer",,,"Other - Sauna and Gym, Inground",,,,"Residential",,,,,,,,
"9939809",,"1981",,,,"Electricity","Electric baseboard units","Public transport","Municipal sewer",,,"Indoor","Panoramic","Fitted, Pool","Garage","Residential",,,,,,,,
"9981015","1,835 Square Feet",,,,,"Natural gas","Hot water","University, Public transport","Municipal sewer",,,,"Panoramic",,,"Residential",,,,,,,,
"9991034","662 Square Feet","2014",,,"$1,800","Electricity","Electric baseboard units","University","Municipal sewer",,,"Other - Outdoor Pool, Inground, Indoor","City",,,"Residential",,,,,,,,
"10013472","1060.0 Square Feet","2013","$0.00","$0.00","$587.00 Monthly","Electricity","Forced air, Electric baseboard units","CEGEP, Hospital, Metro, Commuter train, Public transportation, University","Municipality",,,"Heated, Inground, Indoor, Common spa","Panoramic, View of the city","Attached, Heated, Single width","Garage","COMM, RESI","Municipality",,,,,,,
"10070809","1601.0 Square Feet","1983","$3,138.00","$642.00",,"Electricity","Forced air, Electric baseboard units","Park, Elementary school, Commuter train, Public transportation","Municipality","$135,300.00","$259,700.00",,"facing river side park, View of the water",,"Driveway","RESI","Municipality","50.0 Feet","112.0 Feet","5600.00 Square Feet",,,,
"10077396","417.0 Square Feet","2011","$1,254.00","$267.00","$81.00 Monthly","Electricity","Electric baseboard units","Highway, CEGEP, Metro, Park, Bicycle path, Elementary school, High school, Commuter train, Public transportation, University","Municipality","$20,100.00","$126,600.00",,,,,"RESI","Municipality",,,,,,,
"10173725",,"1988","$5,548.00","$1,091.00",,"Electricity","Forced air","Highway, CEGEP, Golf, Hospital, Park, Bicycle path, Elementary school, High school, Public transportation","Municipality","$337,800.00","$272,400.00",,"View of the water, Panoramic","Heated, Built-in, Single width","Driveway, Garage","COMM, RESI","Municipality","170.0 Feet","72.0 Feet","10538.00 Square Feet",,,,
"10193718","600.0 Square Feet",,"$0.00","$0.00","$97.00 Monthly",,,,"Municipality",,,,,,,"RESI","Municipality",,,,,,,
"10194630",,"1964","$2,531.00","$516.00",,"Heating oil","Forced air",,"Municipality","$147,100.00","$148,000.00",,,"Built-in, Single width","Driveway, Garage",,"Municipality",,,"588.20 Square Metres",,,,
"10215216",,"1956","$3,208.00","$680.00",,"Electricity","Hot water","Highway, CEGEP, Hospital, Park, Elementary school, High school, Public transportation","Municipality","$135,300.00","$257,600.00",,"View of the city",,,"RESI","Municipality","82.0 Feet","25.0 Feet","2050.00 Square Feet",,,,
"10232402","800.0 Square Feet","2009","$1,849.00","$378.00","$127.00 Monthly","Electricity","Convection baseboards","Highway, Hospital, Park, Bicycle path, Elementary school, High school, Cross-country skiing, Public transportation","Municipality","$32,100.00","$197,500.00",,,,"Driveway","RESI","Municipality",,,,,,,
"10246718","72.8 Square Metres","1987","$1,679.00","$313.00","$145.00 Monthly","Electricity","Electric baseboard units","Highway, Golf, Park, Elementary school, High school, Public transportation","Municipality",,,,,,"Driveway","RESI","Municipality",,,,,,,
"10365189",,"1989","$3,557.00","$699.00",,"Electricity","Electric baseboard units","Highway, Park, Elementary school, High school, Public transportation","Municipality","$87,900.00","$303,500.00",,,,"Driveway","RESI","Municipality","98.0 Feet","34.0 Feet","3332.00 Square Feet",,,,
"10417010","78.5 Square Metres","2007","$1,819.00","$385.00","$103.00 Monthly",,"Electric baseboard units","Highway, CEGEP, Hospital, Metro, Park, Bicycle path, Elementary school, High school, Commuter train, Public transportation, University","Municipality","$9,660.00","$188,834.00",,"View of the city",,"Garage","RESI","Municipality",,,,,,,
"10435851","56.2 Square Metres","2010","$1,359.00","$292.00","$141.00 Monthly","Electricity","Electric baseboard units",,"Municipality","$25,000.00","$128,600.00",,,"Heated, Single width","GarageGarage","RESI","Municipality",,,,,,,
"10479027","958.0 Square Feet","1926","$2,349.00","$515.00","$242.00 Monthly","Electricity","Convection baseboards, Electric baseboard units","Other, Highway, Metro, Bicycle path, Public transportation, University","Municipality","$26,600.00","$265,300.00",,"View of the city",,,"COMM, RESI","Municipality",,,,,,,
"10482331","817.0 Square Feet","2007","$2,798.00","$614.00","$282.00 Monthly","Electricity","Electric baseboard units","Highway, CEGEP, Hospital, Metro, Park, Commuter train, Public transportation, University","Municipality","$34,300.00","$330,000.00","Heated, Inground, Indoor","View of the water, Panoramic, View of the city","Heated, Built-in","Garage","RESI","Municipality",,,,,,,
"10552026","1.0 Square Feet","2006","$1,770.00","$388.00","$147.00 Monthly","Electricity","Electric baseboard units",,"Municipality","$16,800.00","$199,400.00",,,,,"RESI","Municipality",,,,,,,
"10594428","94.4 Square Metres","1992","$1,625.00","$320.00","$121.00 Monthly","Electricity","Electric baseboard units",,"Municipality","$32,600.00","$148,000.00",,,,"Driveway","RESI","Municipality",,,,,,,
"10696502",,"1975","$3,831.00","$724.00",,"Electricity","Forced air","Highway, Park, Elementary school, High school, Public transportation","Municipality","$182,700.00","$256,300.00","Inground",,"Built-in, Single width","Garage","RESI","Municipality","27.43 Metre","23.01 Metre","652.60 Square Metres",,,,
"10770453","761.0 Square Feet","2013","$0.00","$0.00","$252.00 Monthly","Electricity","Electric baseboard units","Highway, CEGEP, Hospital, Metro, Park, Bicycle path, Elementary school, High school, Commuter train, Public transportation, University","Municipality",,,"3 Rooftop pools, Heated, Common spa","Panoramic, View of the city",,,"RESI","Municipality",,,,,,,
"10803348","978.0 Square Feet","2007","$2,607.00","$549.00","$222.00 Monthly","Electricity","Electric baseboard units","Highway, CEGEP, Metro, Park, Elementary school, High school, Commuter train, Public transportation","Municipality","$33,500.00","$230,600.00","Heated, Indoor, Private spa",,"Attached, (#6 79), Heated, Built-in, Single width","GarageGarage","RESI","Municipality",,,,,,,
"10813519","1080.0 Square Feet","2000","$2,280.00","$502.00","$1.00 Monthly","Electricity","Electric baseboard units","CEGEP, Hospital, Metro, Park, Bicycle path, Elementary school, High school, Public transportation","Municipality","$42,600.00","$247,800.00",,,,,"RESI","Municipality",,,,,,,
"10832405",,"2002","$17,861.00","$3,389.00",,"Natural gas","Forced air","Highway, Park, Bicycle path, Elementary school, Public transportation","Municipality","$289,800.00","$1,682,200.00","salt water, Heated, Inground",,"Attached, Heated, Double width or more","Driveway, Garage","RESI","Municipality","48.99 Metre","15.42 Metre","1167.60 Square Metres",,,,
"10872396",,"1994","$2,981.00","$595.00",,"Electricity","Electric baseboard units","Hospital, Park, Bicycle path, Elementary school, High school, Public transportation","Municipality","$80,900.00","$251,600.00",,,"Built-in","Driveway, Garage","RESI","Municipality","28.65 Metre","10.47 Metre","299.50 Square Metres",,,,
"11069971","996.0 Square Feet","1962","$2,195.00","$444.00",,"Electricity","Electric baseboard units","Highway, Hospital, Park, Bicycle path, Elementary school, High school, Cross-country skiing, Commuter train, Public transportation","Municipality","$141,300.00","$117,800.00","Above-ground",,"Attached, Single width","Driveway, Garage","RESI","Municipality","90.0 Feet","65.0 Feet","5848.00 Square Feet",,,,
"11096504","916.0 Square Feet","1998","$1,560.00","$314.00","$114.00 Monthly","Electricity","Electric baseboard units","Highway, CEGEP, Golf, Hospital, Park, Bicycle path, Elementary school, High school, Public transportation","Municipality","$30,300.00","$135,400.00",,"Other","Heated, Single width","Garage","RESI","Municipality",,,,,,,
"11118845","890.0 Square Feet","1983","$1,497.00","$318.00","$173.00 Monthly","Electricity","Electric baseboard units","Highway, CEGEP, Hospital, Metro, Park, High school, Commuter train, Public transportation","Municipality",,"$163,233.00",,,,,"RESI","Municipality",,,,,,,
"11138387","930.0 Square Feet","2007","$2,220.00","$232.00","$200.00 Monthly","Electricity","Electric baseboard units","Park, Bicycle path, High school, Public transportation, University","Municipality","$14,400.00","$253,500.00",,,"Heated, Built-in, Single width","Garage","RESI","Municipality",,,,,,,
"11279662","525.0 Square Feet","2005","$1,785.00","$380.00","$187.00 Monthly","Electricity","Electric baseboard units","Highway, Metro, Public transportation, University","Municipality","$55,000.00","$177,500.00",,"View of the city","Heated, Built-in","Garage","RESI","Municipality",,,,,,,
"11281111","504.0 Square Feet","2007","$1,230.00","$254.00","$60.00 Monthly","Electricity","Electric baseboard units",,"Municipality","$20,900.00","$119,100.00",,,,,"RESI","Municipality",,,,,,,
"11356397",,"1947","$2,349.00","$492.00",,"Electricity","Electric baseboard units",,"Municipality","$182,800.00","$104,500.00",,,,,"RESI","Municipality",,,,,,,
"11391222",,"1981","$53,294.00","$7,000.00",,,,,"Municipality","$1,031,500.00","$753,400.00",,,,,"COMM","Municipality","73.16 Metre","29.64 Metre","2318.00 Square Metres",,,,
"11441079","80.4 Square Metres","2012","$2,670.00","$549.00","$255.00 Monthly","Electricity","Electric baseboard units","Highway, Hospital, Metro, Park, Bicycle path, Public transportation","Municipality","$15,700.00","$309,900.00",,,,"License tag","RESI","Municipality",,,,,,,
"11595998","5500.0 Square Feet",,"$0.00","$0.00",,,"Forced air, Electric baseboard units","Highway, Public transportation","Municipality",,,,,,,"COMM, INDS","Municipality",,,"515000.00 Square Feet",,,,
"11605342",,"1968","$2,442.00","$487.00",,"Electricity","Forced air","Park, Elementary school, Public transportation","Municipality","$150,000.00","$139,700.00",,,"Attached, Single width","Driveway, Garage","RESI","Municipality",,"19.81 Metre","588.26 Square Metres",,,,
"11717969","56.0 Square Feet","1973","$2,105.00","$374.00","$243.00 Monthly","Electricity","Electric baseboard units","Park, Public transportation","Municipality","$86,400.00","$124,100.00","Inground",,,"Garage","RESI","Municipality",,,,,,,
"11722479",,"1981","$43,243.00","$2,289.00",,"Electricity, Natural gas","Forced air","Highway","Municipality","$561,400.00","$549,400.00",,,,,"COMM, INDS","Municipality","494.0 Feet","567.0 Feet","227601.00 Square Feet",,,,
"11725718","985.0 Square Feet","1999","$2,256.00","$470.00","$132.00 Monthly","Electricity","Electric baseboard units","CEGEP, Metro, Park, Bicycle path, Elementary school, High school, Cross-country skiing, Public transportation","Municipality","$52,600.00","$225,000.00","for all residents, Inground","Angrignon Park","Attached, Heated, Built-in, Single width","Garage","RESI","Municipality",,,,,,,
"11733405",,,"$2,089.00","$470.00",,,,"Highway, CEGEP, Golf, Hospital, Park, Bicycle path, Elementary school, High school, Cross-country skiing, Commuter train, Public transportation","Municipality","$183,900.00","$86,100.00",,,,,"RESI, UNI","Municipality","33.0 Metre","38.0 Metre","1094.50 Square Metres",,,,
"11786468",,"1969","$3,915.00","$835.00",,"Natural gas",,"Highway, Hospital, Metro, Park, Bicycle path, Elementary school, High school, Commuter train, Public transportation","Municipality","$252,200.00","$245,900.00",,,"Heated, Double width or more, Built-in, Tandem","Driveway, Garage","RESI","Municipality","133.0 Feet","50.0 Feet","6540.00 Square Feet",,,,
"11808019",,"1953","$2,879.00","$647.00",,"Dual energy, Electricity, Heating oil","Forced air","water, Highway, Golf, Hospital, Park, Bicycle path, Elementary school, High school, Cross-country skiing, Commuter train, Public transportation","Municipality","$211,800.00","$156,300.00",,,"Attached, Built-in, Single width","Driveway, Garage","RESI","Municipality","161.0 Feet","60.0 Feet","9666.00 Square Feet",,,,
"11938223","1136.0 Square Feet","2011","$3,008.00","$603.00","$217.00 Monthly","Electricity",,"Highway, CEGEP, Hospital, Metro, Park, Elementary school, High school, Commuter train, Public transportation","Municipality",,"$309,933.00",,,"Built-in","Garage","RESI","Municipality",,,,,,,
"11941623",,,,,,"Electricity",,,"Municipality",,,,,,,"COMM","Municipality",,,,,,,
"11989496",,"1928","$3,565.00","$755.00",,"Electricity","Electric baseboard units","CEGEP, Park, Elementary school, Public transportation","Municipality","$112,100.00","$328,900.00",,,,"Driveway","RESI","Municipality",,,"1687.00 Square Feet",,,,
"11992669","1017.0 Square Feet","1988","$1,763.00","$351.00","$140.00 Monthly","Electricity","Electric baseboard units","Commuter train, Public transportation","Municipality","$37,600.00","$168,400.00",,,,"Driveway","RESI","Municipality",,,,,,,
"12027734",,"2005","$3,605.00","$798.00","$247.00 Monthly","Electricity","Electric baseboard units","Highway, Metro, Park, Bicycle path, Public transportation","Municipality",,,,"Panoramic, View of the city",,,"RESI","Municipality",,,,,,,
"12042351",,"1943","$5,460.00","$1,132.00",,"Electricity, Natural gas","Hot water, Electric baseboard units","Metro, Park, Bicycle path, Elementary school, High school, Public transportation","Municipality","$414,600.00","$265,800.00",,,,"Driveway","RESI","Municipality","100.0 Feet","75.0 Feet","7500.00 Square Feet",,,,
"12068644","615.0 Square Feet","2011","$1,426.00","$284.00","$99.00 Monthly","Electricity","Electric baseboard units","Highway, CEGEP, Hospital, Park, Elementary school, High school, Public transportation","Municipality","$11,500.00","$98,100.00",,,,,"RESI","Municipality",,,,,,,
"12082622","3696.0 Square Feet","1967","$5,113.00","$940.00",,"Electricity, Heating oil","Forced air, Electric baseboard units","Highway, Park, Elementary school, High school, Public transportation","Municipality","$167,200.00","$403,800.00",,,"Heated, Single width","Driveway, Garage","RESI","Municipality","75.0 Feet","60.0 Feet","4499.00 Square Feet",,,,
"12114622",,,"$3,672.00","$791.00",,"Electricity","Electric baseboard units","Highway, Hospital, Park, Elementary school, Public transportation","Municipality","$115,700.00","$326,700.00",,,,"Garage","RESI","Municipality","81.0 Feet","25.0 Feet","2037.00 Square Feet",,,,
"12172579",,"1985",,,,,,,"Municipality",,,,,,,,"Municipality",,,,,,,
"12177509","476.8 Square Metres","1958","$4,915.00","$1,198.00",,"Electricity","Electric baseboard units","Park, High school, Public transportation","Municipality","$122,500.00","$457,800.00",,,,"Driveway","RESI","Municipality","23.1 Metre","12.8 Metre","291.70 Square Metres",,,,
"12192763",,"1958","$4,799.00","$938.00",,"Electricity","Forced air","CEGEP, Park, Bicycle path, Elementary school, High school, Commuter train, Public transportation, University","Municipality","$198,500.00","$314,500.00","Heated, Inground",,"Attached, Double width or more, Built-in","Driveway, Garage","RESI","Municipality, With water meter","39.32 Metre","28.04 Metre","1102.50 Square Metres",,,,
"12274697",,,"$1.00","$1.00",,,,"Highway, Public transportation","Municipality","$343,100.00",,,,,,"COMM, INDS, COMM, LEGER","Municipality","52.0 Metre","60.0 Metre","2683.00 Square Metres",,,,
"12277550",,,"$77,401.00","$3,938.00",,,,,"Municipality","$565,200.00","$1,744,200.00",,,,,"COMM","Municipality","44.0 Feet","58.0 Feet","2521.00 Square Feet",,,,
"12284825",,"1961","$2,410.00","$479.00",,"Dual energy, Electricity, Heating oil","Forced air","Highway, CEGEP, Hospital, Bicycle path, Alpine skiing, High school, Public transportation","Municipality","$127,200.00","$160,500.00",,,"Attached, Built-in","Driveway, Garage","RESI","Municipality","90.0 Feet","62.0 Feet","5478.00 Square Feet",,,,
"12350986",,"1930","$4,613.00","$480.00",,"Dual energy, Electricity, Heating oil","Hot water","Highway, CEGEP, Golf, Park, Elementary school, High school, Commuter train, Public transportation, University","Municipality","$218,400.00","$320,900.00",,,,"Driveway, Garage","RESI","Municipality","11.3 Metre","60.96 Metre","1119.90 Square Metres",,,,
"12371527","2100.0 Square Feet","1999","$3,965.00","$845.00",,"Electricity","Electric baseboard units","Hospital, Metro, Park, Bicycle path, High school, Cross-country skiing, Public transportation","Municipality","$83,000.00","$405,400.00",,,"Attached, Heated, Built-in, Single width","Driveway, Garage","RESI","Municipality","90.0 Feet","21.0 Feet","1881.00 Square Feet",,,,
"12376490",,"1956","$3,397.00","$638.00",,"Electricity","Forced air","St-Charles Shopping Center, Highway, CEGEP, Hospital, Park, Elementary school, High school, Commuter train, Public transportation, University","Municipality","$192,800.00","$187,600.00",,,"Attached, Built-in, Single width","Driveway, Garage","RESI","Municipality","41.15 Metre","30.48 Metre","1254.20 Square Metres",,,,
"12410379","44.3 Square Metres",,"$1,501.00","$329.00","$0.00 Monthly",,,,"Municipality",,"$169,367.00",,,,,,"Municipality",,,,,,,
"12415955",,"1964","$47,528.00","$2,460.00",,"Electricity, Natural gas","Forced air, Hot water",,"Municipality","$952,100.00","$394,500.00",,,,"Driveway","COMM, INDS","Municipality","37.49 Metre","43.47 Metre","2188.00 Square Metres",,,,
"12425333",,"1971","$3,708.00","$637.00",,"Electricity, Natural gas","Forced air","Shopping Center, Highway, Park, Bicycle path, Elementary school, High school, Public transportation","Municipality","$187,000.00","$185,000.00",,,"Attached, Single width","Driveway, Garage","RESI","Municipality","97.0 Feet","52.11 Feet","6421.00 Square Feet",,,,
"12434671","1800.0 Square Feet","1946","$3,508.00","$690.00",,,,,"Municipality","$253,200.00","$96,100.00",,,,"Driveway","RESI","Municipality",,,"16406.00 Square Feet",,,,
"12450927",,,"$0.00","$0.00",,,,"Highway, Park, Bicycle path, Elementary school, Commuter train, Public transportation","Municipality",,,,,,,"RESI, UNI","Municipality","127.0 Feet","50.0 Feet","6375.00 Square Feet",,,,
