MlsNumber,Lat,Lng,BuyPrice,ConstructionYear,WalkScore,NbPieces,NbChambres,NbSallesEaux,NbSallesBains,NbFoyerPoele,NbEquipements,NbGarages,NbStationnements,NbPiscines,NbBordEaux,NbAnimals,NbCultures,IsNewPrice,IsNew,RevenuBrutPotentiel,Outremont,LaSalle,Mont-Royal,Ville-Marie,Le Plateau-Mont-Royal,Hampstead,Le Sud-Ouest,Rivière-des-Prairies-Pointe-aux-Trembles,Lachine,Dorval,Montréal-Nord,L'Île-Bizard-Sainte-Geneviève,Kirkland,Dollard-des-Ormeaux,Senneville,Ahuntsic-Cartierville,Côte-Saint-Luc,Saint-Léonard,Montréal-Ouest,Pointe-Claire,L'Île-Dorval,Mercier-Hochelaga-Maisonneuve,Côte-des-Neiges-Notre-Dame-de-Grâce,Rosemont-La Petite-Patrie,Saint-Laurent,Beaconsfield,Villeray-Saint-Michel-Parc-Extension,Westmount,Montréal-Est,Anjou,Pierrefonds-Roxboro,Sainte-Anne-de-Bellevue,Verdun,Baie-d'Urfé,AP,C,ME,VE,I,4X,MA,PP,AU,MPM,TE,2X,TR,3X,MEM,LS,MM,5X,FE,COP,PCI,UNI,PPR,TER,FER
9716936,45.52641558,-73.728377,374900,1954,57,12,4,0,2,0,0,0,1,0,0,0,0,0,0,37284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9763278,45.575654,-73.647601,669000,,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9849331,45.54356702,-73.66182812,3900000,,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10074419,45.55312806,-73.62958009,275000,1987,63,4,1,0,1,0,0,2,1,0,0,0,0,0,0,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10075251,45.52471,-73.739183,1825000,,17,17,5,1,3,2,0,3,2,3,1,0,0,0,0,41700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10146342,45.52395386,-73.73037457,849000,1957,35,14,4,1,2,1,0,2,2,2,0,0,0,0,0,31200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10146659,45.554148,-73.670305,239000,1955,88,5,2,0,1,0,0,0,0,0,0,0,0,0,0,29940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10212186,45.55257785,-73.63216817,519000,2004,68,9,3,0,2,1,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10257753,45.52112686,-73.73737938,1660000,2007,17,16,5,0,4,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10387759,45.512548,-73.748125,749000,1973,18,8,3,0,3,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10408060,45.53308,-73.679385,214500,2011,54,5,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10414923,45.551315,-73.654618,210983,,83,4,2,0,1,0,0,0,0,0,0,0,0,0,0,28092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10417010,45.53677,-73.647044,225000,2007,84,7,2,0,1,0,0,0,1,0,0,0,0,0,0,28680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10433520,45.551898,-73.657072,244000,2010,75,5,2,0,1,0,0,0,1,0,0,0,0,0,0,14460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10498511,45.54209635,-73.66302967,2650000,1964,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10511451,45.54980954,-73.64802768,419900,1930,80,10,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10554440,45.552205,-73.631412,289900,2007,68,6,2,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10581365,45.55130313,-73.6392733,399000,1984,75,5,2,1,1,0,0,1,1,0,0,0,0,0,0,29820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10657240,45.54654465,-73.69425058,1025000,1992,54,10,3,0,3,1,0,2,2,0,0,0,0,0,0,27468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10804162,45.535312,-73.667927,242000,2005,86,6,2,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10860094,45.551806,-73.630985,189000,2009,77,4,1,0,1,0,0,0,0,2,0,0,0,0,0,138840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10970136,45.534789,-73.690528,389000,1955,66,6,4,1,2,0,0,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
