398000,380000
374000,365000
509000,509000
,
375000,375000
249900,246000
,
479000,465000
219000,211000
239000,227000
559000,550000
359000,356000
497000,446000
314888,308000
285000,267000
379500,390000
,
289000,280000
579000,575000
,
378900,365000
495000,480000
315000,305000
495000,485000
,
679000,645000
469000,475000
225000,180000
549000,529000
420000,408000
675000,675000
419000,407000
779000,701000
684500,670000
,
324000,313000
,
365000,355000
495000,488000
,
629000,593000
565000,540000
,
395000,370000
439000,439000
,
379000,365000
549500,540000
429000,429000
729000,723000
639000,645000
669000,662000
325000,315000
589000,567000
519000,500000
464000,450000
414000,400000
569500,
545000,534000
779000,715000
381000,
349000,332000
379000,366000
,
,
,
369000,365000
529000,515000
439000,439000
389000,385000
,
539500,532000
,
614000,585000
,
729000,729000
459000,437000
799000,750000
727000,698000
439000,415000
467000,481000
405000,400000
485000,480000
,
449000,435500
798900,790000
295000,280000
,
,
,
898000,880000
985000,1000000
,
,
569000,569000
595000,590000
599900,585000
,
379000,375000
429500,420000
589000,580000
479000,455000
332500,330000
416900,410000
459000,435000
634000,605000
,
359000,350000
,
448000,415000
389000,375000
,
419900,394000
,
420000,400000
529000,517500
479000,450000
389000,378000
315000,285000
298000,290000
459000,459000
269000,265000
369000,355000
339000,320000
325000,325000
358000,358000
395000,395000
,
649000,620000
599000,580000
,
388000,388000
,
454000,420000
799000,740000
534000,525000
498000,487500
,
395000,375000
395000,388000
269500,268000
387000,375000
1145000,1100000
679000,612000
,
899000,880000
560000,550000
589000,589000
429000,412000
449900,449900
,
409000,410000
469000,440000
397000,386500
580000,565000
604000,600000
595000,590000
,
,
349900,338000
435000,410000
589000,537500
469000,455000
339000,328000
349000,339000
369000,353000
359000,350000
460000,435000
319000,300000
,
259999,250000
295000,295000
,
,
409000,399000
,
475000,415000
219900,190000
429000,412000
225000,200000
289000,275000
339000,310000
469000,465000
537000,510000
338500,335000
329000,306000
349900,323000
489000,460000
449000,425000
355000,352000
529500,525000
,
386000,374000
279000,282000
589500,574000
545000,520000
449000,400000
,
369000,365000
370000,360000
395000,379500
469900,465000
384900,360000
755000,740000
,
485000,495000
458000,440000
529000,476500
424000,
397000,370000
279000,252500
407000,385500
215000,215500
235000,220000
309000,298000
389000,372500
399000,378750
338000,338000
619000,590000
449995,420000
,
,
465000,445000
290000,280000
,
,
250000,235000
999999,
,
789000,795000
,
569000,560000
,
,
889000,815000
,
528000,480000
200000,192000
249999,240000
199900,200000
419000,420000
204000,204000
,
,
,
,
325000,325000
329000,320000
,
824000,805000
1249000,1200000
1200000,1100000
,
,
,
,
330000,326000
389000,370000
459000,442500
347000,347000
349999,338000
489000,482500
,
579000,520000
,
,
829000,800000
459000,445000
,
349000,327000
360000,354000
255000,250000
879000,879000
429000,409000
497000,430000
375000,370000
489000,471000
242900,242000
,
649000,649000
,
434000,410000
589000,580000
629000,604500
,
449000,455000
850000,817000
744000,720000
750000,750000
695000,670000
545000,530000
,
915000,905000
375000,380000
619000,584000
995000,995000
735000,730000
799000,747000
799000,758000
,
795000,
309000,300000
249000,230000
259000,255000
265000,260000
369000,359000
179800,172000
399000,390000
285000,270000
,
,
269000,260000
249000,240000
299900,295000
557500,540000
204999,200000
429900,410000
399000,395000
335000,305000
460000,450000
449000,425000
329900,325000
429900,400000
,
369000,355000
342500,342500
459900,456000
585000,530000
467000,433500
349000,345000
254900,248000
265000,260000
339000,327500
335000,325000
,
539000,525000
475000,465000
449000,440000
421900,410000
532000,507000
,
