MlsNumber,Lat,Lng,City,BuyPrice,ConstructionYear,GenreCode,CatgCode,WalkScore,NbPieces,NbChambres,NbSallesEaux,NbSallesBains,NbFoyerPoele,NbEquipements,NbGarages,NbStationnements,NbPiscines,NbBordEaux,NbAnimals,NbCultures,IsNewPrice,IsNew,RevenuBrutPotentiel
9027411,45.556508,-73.633198,Ahuntsic-Cartierville (Montr̩al),187500,1988,AP,COP,60,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0
9041238,45.57388725,-73.64907888,Ahuntsic-Cartierville (Montr̩al),475000,1959,C,PCI,88,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26760
9066959,45.533876,-73.672649,Ahuntsic-Cartierville (Montr̩al),200000,2011,AP,COP,63,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0
9094378,45.534057,-73.674738,Ahuntsic-Cartierville (Montr̩al),217000,2013,AP,COP,71,3,1,0,1,0,0,2,1,0,0,0,0,0,0,22800
9112562,45.52092453,-73.73879135,Ahuntsic-Cartierville (Montr̩al),1480000,2007,ME,UNI,18,12,5,1,4,1,0,2,2,0,0,0,0,0,0,0
9115144,45.57350351,-73.64915737,Ahuntsic-Cartierville (Montr̩al),85000,1955,VE,PCI,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9173179,45.55578448,-73.63171779,Ahuntsic-Cartierville (Montr̩al),369000,1984,AP,COP,49,6,3,1,1,0,0,1,1,0,0,0,0,0,0,12540
9221879,45.537182,-73.674023,Ahuntsic-Cartierville (Montr̩al),239900,1989,AP,COP,67,8,2,0,2,0,0,3,1,0,0,0,0,0,0,0
9287443,45.535936,-73.646941,Ahuntsic-Cartierville (Montr̩al),159125,1964,I,PCI,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9292651,45.55399693,-73.62697755,Ahuntsic-Cartierville (Montr̩al),299000,1983,AP,COP,66,4,2,0,1,0,0,3,1,0,0,0,0,0,0,49320
9573726,45.542214,-73.69463,Ahuntsic-Cartierville (Montr̩al),669900,1957,4X,PPR,78,6,3,0,1,0,0,0,2,0,0,0,0,0,0,0
9579902,45.56118163,-73.65799443,Ahuntsic-Cartierville (Montr̩al),339000,,ME,UNI,92,7,3,1,1,1,0,0,1,0,0,0,0,0,0,0
9580398,45.54782136,-73.68390799,Ahuntsic-Cartierville (Montr̩al),589900,2002,MA,COP,45,15,4,0,3,1,0,1,1,0,0,0,0,0,0,51000
9592573,45.55118193,-73.67109737,Ahuntsic-Cartierville (Montr̩al),499000,1932,AP,COP,89,9,4,2,1,0,0,1,2,0,0,0,0,0,0,0
9680184,45.54172477,-73.65479467,Ahuntsic-Cartierville (Montr̩al),338000,1969,AP,COP,80,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9716936,45.52641558,-73.728377,Ahuntsic-Cartierville (Montr̩al),374900,1954,PP,UNI,57,12,4,0,2,0,0,0,1,0,0,0,0,0,0,37284
9763278,45.575654,-73.647601,Ahuntsic-Cartierville (Montr̩al),669000,,AU,PPR,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28800
9849331,45.54356702,-73.66182812,Ahuntsic-Cartierville (Montr̩al),3900000,,C,PCI,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24900
10074419,45.55312806,-73.62958009,Ahuntsic-Cartierville (Montr̩al),275000,1987,AP,COP,63,4,1,0,1,0,0,2,1,0,0,0,0,0,0,27000
10075251,45.52471,-73.739183,Ahuntsic-Cartierville (Montr̩al),1825000,,ME,UNI,17,17,5,1,3,2,0,3,2,3,1,0,0,0,0,41700
10146342,45.52395386,-73.73037457,Ahuntsic-Cartierville (Montr̩al),849000,1957,MPM,UNI,35,14,4,1,2,1,0,2,2,2,0,0,0,0,0,31200
10146659,45.554148,-73.670305,Ahuntsic-Cartierville (Montr̩al),239000,1955,AP,COP,88,5,2,0,1,0,0,0,0,0,0,0,0,0,0,29940
10212186,45.55257785,-73.63216817,Ahuntsic-Cartierville (Montr̩al),519000,2004,AP,COP,68,9,3,0,2,1,0,3,1,3,0,0,0,0,0,0
10257753,45.52112686,-73.73737938,Ahuntsic-Cartierville (Montr̩al),1660000,2007,ME,UNI,17,16,5,0,4,0,0,3,2,0,0,0,0,0,0,0
10387759,45.512548,-73.748125,Ahuntsic-Cartierville (Montr̩al),749000,1973,PP,UNI,18,8,3,0,3,1,0,3,2,0,0,0,0,0,0,0
10408060,45.53308,-73.679385,Ahuntsic-Cartierville (Montr̩al),214500,2011,AP,COP,54,5,2,0,1,0,0,0,1,0,0,0,0,0,0,0
10414923,45.551315,-73.654618,Ahuntsic-Cartierville (Montr̩al),210983,,AP,COP,83,4,2,0,1,0,0,0,0,0,0,0,0,0,0,28092
10417010,45.53677,-73.647044,Ahuntsic-Cartierville (Montr̩al),225000,2007,AP,COP,84,7,2,0,1,0,0,0,1,0,0,0,0,0,0,28680
10433520,45.551898,-73.657072,Ahuntsic-Cartierville (Montr̩al),244000,2010,AP,COP,75,5,2,0,1,0,0,0,1,0,0,0,0,0,0,14460
10498511,45.54209635,-73.66302967,Ahuntsic-Cartierville (Montr̩al),2650000,1964,I,PCI,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10511451,45.54980954,-73.64802768,Ahuntsic-Cartierville (Montr̩al),419900,1930,PP,UNI,80,10,3,0,1,1,0,0,1,0,0,0,0,0,0,0
10554440,45.552205,-73.631412,Ahuntsic-Cartierville (Montr̩al),289900,2007,AP,COP,68,6,2,0,1,0,0,2,1,1,0,0,0,0,0,0
10581365,45.55130313,-73.6392733,Ahuntsic-Cartierville (Montr̩al),399000,1984,AP,COP,75,5,2,1,1,0,0,1,1,0,0,0,0,0,0,29820
10657240,45.54654465,-73.69425058,Ahuntsic-Cartierville (Montr̩al),1025000,1992,MPM,UNI,54,10,3,0,3,1,0,2,2,0,0,0,0,0,0,27468
10804162,45.535312,-73.667927,Ahuntsic-Cartierville (Montr̩al),242000,2005,AP,COP,86,6,2,0,1,0,0,3,1,0,0,0,0,0,0,0
10860094,45.551806,-73.630985,Ahuntsic-Cartierville (Montr̩al),189000,2009,AP,COP,77,4,1,0,1,0,0,0,0,2,0,0,0,0,0,138840
10970136,45.534789,-73.690528,Ahuntsic-Cartierville (Montr̩al),389000,1955,PP,UNI,66,6,4,1,2,0,0,0,0,0,0,0,0,0,0,18000
11072565,45.54735259,-73.66507478,Ahuntsic-Cartierville (Montr̩al),447000,1927,AP,COP,92,8,3,0,1,0,0,0,1,0,0,0,0,0,0,48000
11118845,45.53552766,-73.6768054,Ahuntsic-Cartierville (Montr̩al),239000,1983,AP,COP,69,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0
11223155,45.54093913,-73.69894981,Ahuntsic-Cartierville (Montr̩al),325000,2012,AP,COP,75,10,3,1,1,0,0,0,1,0,0,0,0,0,0,0
11227618,45.575168,-73.651757,Ahuntsic-Cartierville (Montr̩al),347500,1954,PP,UNI,86,11,3,1,1,0,0,0,0,0,0,0,0,0,0,21960
11314553,45.56195185,-73.66349491,Ahuntsic-Cartierville (Montr̩al),449000,1955,ME,UNI,84,12,5,1,2,0,0,1,1,0,0,0,0,0,0,28020
11403291,45.52024015,-73.74266079,Ahuntsic-Cartierville (Montr̩al),6499000,,ME,UNI,15,22,9,3,5,2,0,3,2,0,1,0,0,0,0,0
11483229,45.537241,-73.668629,Ahuntsic-Cartierville (Montr̩al),282000,1993,AP,COP,80,6,2,0,1,0,0,1,1,0,0,0,0,0,0,0
11592497,45.53285929,-73.71898661,Ahuntsic-Cartierville (Montr̩al),10900,1910,VE,PCI,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8460
11619923,45.53680231,-73.69794957,Ahuntsic-Cartierville (Montr̩al),525000,1966,VE,PCI,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11769362,45.55073625,-73.6510682,Ahuntsic-Cartierville (Montr̩al),339900,1955,AP,COP,83,6,3,0,1,0,0,0,1,0,0,0,0,0,0,15600
11908550,45.53264916,-73.68329866,Ahuntsic-Cartierville (Montr̩al),769000,1962,PP,UNI,58,14,4,1,2,1,0,2,2,0,0,0,0,0,0,0
11990476,45.55358174,-73.6277494,Ahuntsic-Cartierville (Montr̩al),329000,1985,AP,COP,66,5,3,0,1,0,0,2,1,0,0,0,0,0,0,29880
12031957,45.53296712,-73.67963479,Ahuntsic-Cartierville (Montr̩al),179000,2011,AP,COP,54,4,1,0,1,0,0,0,1,0,0,0,0,0,0,22040
12077928,45.53301913,-73.67943899,Ahuntsic-Cartierville (Montr̩al),215000,2011,AP,COP,54,5,2,0,1,0,0,0,1,0,0,0,0,0,0,21900
12108737,45.53223866,-73.72323945,Ahuntsic-Cartierville (Montr̩al),219900,1987,AP,COP,80,4,2,0,1,0,0,0,1,0,0,0,0,0,0,157836
12190172,45.53137991,-73.70761871,Ahuntsic-Cartierville (Montr̩al),39000,2010,VE,PCI,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12203900,45.52779351,-73.70795808,Ahuntsic-Cartierville (Montr̩al),749000,1974,PP,UNI,67,13,4,1,2,0,0,0,2,0,0,0,0,0,0,0
12216698,45.563053,-73.66419,Ahuntsic-Cartierville (Montr̩al),268500,2008,AP,COP,84,6,3,0,1,0,0,1,1,0,0,0,0,0,0,0
12258580,45.547183,-73.638449,Ahuntsic-Cartierville (Montr̩al),314000,1942,AP,COP,87,7,3,0,1,0,0,0,1,0,0,0,0,0,0,0
12260795,45.53604,-73.667837,Ahuntsic-Cartierville (Montr̩al),340000,2008,AP,COP,80,6,3,0,2,0,0,0,0,0,0,0,0,0,0,0
12278622,45.55075128,-73.65104674,Ahuntsic-Cartierville (Montr̩al),264900,1955,AP,COP,83,6,3,1,1,0,0,0,1,0,0,0,0,0,0,0
12290871,45.521924,-73.737009,Ahuntsic-Cartierville (Montr̩al),1099000,1984,ME,UNI,18,11,5,2,2,1,0,2,2,2,0,0,0,0,0,0
12361187,45.53843281,-73.67254373,Ahuntsic-Cartierville (Montr̩al),175000,1984,AP,COP,61,4,1,0,1,1,0,2,1,0,0,0,0,0,0,0
12363577,45.54155945,-73.65449427,Ahuntsic-Cartierville (Montr̩al),336000,1969,AP,COP,80,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12377164,45.552021,-73.631168,Ahuntsic-Cartierville (Montr̩al),284000,2008,AP,COP,77,5,2,0,1,0,0,3,1,1,0,0,0,0,0,23640
12377984,45.51987212,-73.73622179,Ahuntsic-Cartierville (Montr̩al),3750000,2004,ME,UNI,18,14,5,1,6,1,0,3,2,2,0,0,0,0,0,0
12410211,45.5335759,-73.67667887,Ahuntsic-Cartierville (Montr̩al),249000,1981,AP,COP,65,5,2,1,1,0,0,2,1,0,0,0,0,0,0,32880
12414201,45.56935451,-73.659812,Ahuntsic-Cartierville (Montr̩al),297000,2003,AP,COP,75,7,3,0,1,1,0,0,0,0,0,0,0,0,0,0
12475660,45.5204272,-73.73951624,Ahuntsic-Cartierville (Montr̩al),1599000,2005,ME,UNI,14,18,6,1,5,2,0,3,2,3,0,0,0,0,1,30060
12511574,45.553421,-73.63007,Ahuntsic-Cartierville (Montr̩al),319000,1986,AP,COP,65,5,2,0,2,0,0,2,1,0,0,0,0,0,0,34560
12512996,45.55332016,-73.62776966,Ahuntsic-Cartierville (Montr̩al),359000,1985,AP,COP,67,5,2,0,2,0,0,2,2,0,0,0,0,0,0,0
12524224,45.53283905,-73.67964821,Ahuntsic-Cartierville (Montr̩al),199900,2011,AP,COP,54,5,1,0,1,0,0,3,1,0,0,0,0,0,0,0
12562468,45.537076,-73.674017,Ahuntsic-Cartierville (Montr̩al),209000,1983,AP,COP,67,5,2,0,1,0,0,0,1,0,0,0,0,0,0,23700
12606046,45.519177,-73.740516,Ahuntsic-Cartierville (Montr̩al),1399000,1987,ME,UNI,17,16,5,1,4,0,0,1,2,1,0,0,0,0,0,0
12616830,45.56944998,-73.66244704,Ahuntsic-Cartierville (Montr̩al),4750000,,TE,TER,67,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12707843,45.552566,-73.631647,Ahuntsic-Cartierville (Montr̩al),319900,2004,AP,COP,68,7,2,0,1,0,0,2,1,1,0,0,0,0,0,0
12717032,45.52736002,-73.70362588,Ahuntsic-Cartierville (Montr̩al),749900,1957,MPM,UNI,64,9,5,1,2,0,0,3,2,1,0,0,0,0,0,0
12788103,45.548698,-73.646142,Ahuntsic-Cartierville (Montr̩al),219000,2007,AP,COP,84,4,2,0,1,0,0,0,0,0,0,0,0,0,0,21840
12880973,45.52552079,-73.71280849,Ahuntsic-Cartierville (Montr̩al),229900,2009,AP,COP,74,6,2,0,1,1,0,0,1,0,0,0,0,0,0,0
12944838,45.528314,-73.720964,Ahuntsic-Cartierville (Montr̩al),975000,1955,C,PCI,81,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
13034307,45.53809279,-73.65470246,Ahuntsic-Cartierville (Montr̩al),35000,,VE,PCI,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13045153,45.53814218,-73.69999051,Ahuntsic-Cartierville (Montr̩al),229000,2013,AP,COP,74,5,2,0,2,0,0,0,0,0,0,0,0,0,0,10020
13063050,45.54959857,-73.64819934,Ahuntsic-Cartierville (Montr̩al),249000,2011,AP,COP,84,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0
13118673,45.53985704,-73.68345737,Ahuntsic-Cartierville (Montr̩al),359000,1964,PP,UNI,52,7,3,1,1,0,0,2,2,0,0,0,0,0,0,0
13123794,45.54670856,-73.63910517,Ahuntsic-Cartierville (Montr̩al),369000,2010,AP,COP,89,7,2,0,2,0,0,2,1,0,0,0,0,0,0,20100
13178074,45.53660334,-73.67042348,Ahuntsic-Cartierville (Montr̩al),234900,1985,AP,COP,71,5,2,0,1,0,0,4,1,0,0,0,0,0,0,0
13208073,45.53939243,-73.70924943,Ahuntsic-Cartierville (Montr̩al),3990000,2009,ME,UNI,52,15,5,1,5,0,0,3,1,1,1,0,0,0,0,6360
13225384,45.55796377,-73.65170772,Ahuntsic-Cartierville (Montr̩al),269000,2003,AP,COP,82,5,2,0,1,0,0,1,1,0,0,0,0,0,0,0
13416321,45.524359,-73.736879,Ahuntsic-Cartierville (Montr̩al),819000,1980,MPM,UNI,23,15,4,0,3,1,0,2,2,1,0,0,0,0,0,58800
13431718,45.5344351,-73.72420804,Ahuntsic-Cartierville (Montr̩al),449900,,ME,UNI,76,12,5,0,2,1,0,0,1,0,0,0,0,0,0,0
13536068,45.53259025,-73.72483358,Ahuntsic-Cartierville (Montr̩al),224900,1987,AP,COP,79,5,2,0,1,0,0,0,1,0,0,0,0,0,0,0
13553035,45.5309553,-73.72200085,Ahuntsic-Cartierville (Montr̩al),197000,2008,AP,COP,80,5,1,0,1,0,0,1,1,0,0,0,0,0,0,40200
13560889,45.55583985,-73.63336387,Ahuntsic-Cartierville (Montr̩al),179000,1983,AP,COP,60,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0
13619568,45.53405935,-73.70089904,Ahuntsic-Cartierville (Montr̩al),425000,1984,ME,UNI,88,9,3,1,1,1,0,2,1,0,0,0,0,0,0,45120
13665057,45.551058,-73.63916,Ahuntsic-Cartierville (Montr̩al),199000,1983,AP,COP,80,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0
13719822,45.52644783,-73.72994395,Ahuntsic-Cartierville (Montr̩al),389000,1954,PP,UNI,59,13,4,0,2,1,0,0,1,0,0,0,0,0,0,0
13721743,45.53277001,-73.67982566,Ahuntsic-Cartierville (Montr̩al),299000,2011,AP,COP,54,6,2,0,1,0,0,1,1,0,0,0,0,0,0,0
13730958,45.538467,-73.645785,Ahuntsic-Cartierville (Montr̩al),449000,2013,ME,UNI,86,8,4,1,2,0,0,0,1,0,0,0,0,0,0,0
13757142,45.535003,-73.672811,Ahuntsic-Cartierville (Montr̩al),450000,2013,AP,COP,71,6,3,0,2,0,0,2,1,0,0,0,0,0,0,18000
13765065,45.551315,-73.654618,Ahuntsic-Cartierville (Montr̩al),180150,,AP,COP,83,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0
13832402,45.53314578,-73.66711736,Ahuntsic-Cartierville (Montr̩al),268000,1990,AP,COP,86,7,2,0,2,0,0,1,1,0,0,0,0,0,0,0
13851121,45.545804,-73.65577,Ahuntsic-Cartierville (Montr̩al),25000,,VE,PCI,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13864951,45.532567,-73.717985,Ahuntsic-Cartierville (Montr̩al),449000,2005,ME,UNI,77,10,4,1,1,0,0,0,2,0,0,0,0,0,0,0
13865771,45.552996,-73.660056,Ahuntsic-Cartierville (Montr̩al),205000,2008,AP,COP,86,6,2,0,1,0,0,0,0,0,0,0,0,0,0,250824
13894327,45.547166,-73.676303,Ahuntsic-Cartierville (Montr̩al),399000,1955,PP,UNI,70,8,3,1,2,0,0,1,2,0,0,0,0,0,0,0
13927878,45.54751719,-73.68443302,Ahuntsic-Cartierville (Montr̩al),979000,1957,ME,UNI,45,13,6,1,3,1,0,0,1,0,0,0,0,0,0,0
13979839,45.54382298,-73.69068162,Ahuntsic-Cartierville (Montr̩al),399500,1955,PP,UNI,50,10,6,0,2,1,0,0,1,0,0,0,0,0,0,0
13981283,45.52571575,-73.71242787,Ahuntsic-Cartierville (Montr̩al),229000,2010,AP,COP,74,5,2,0,1,1,0,2,1,0,0,0,0,0,0,0
14024226,45.518605,-73.733661,Ahuntsic-Cartierville (Montr̩al),959000,1985,ME,UNI,11,12,4,1,3,1,0,1,2,0,0,0,0,0,0,0
14057080,45.54162678,-73.65471957,Ahuntsic-Cartierville (Montr̩al),336000,1969,AP,COP,80,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14073230,45.56261733,-73.66326732,Ahuntsic-Cartierville (Montr̩al),299000,2008,AP,COP,84,5,2,0,1,0,0,2,1,0,0,0,0,0,0,329880
14115889,45.539248,-73.705957,Ahuntsic-Cartierville (Montr̩al),699000,1961,MPM,UNI,85,15,4,2,2,1,0,2,2,0,0,0,0,0,0,0
14118112,45.539966,-73.68755,Ahuntsic-Cartierville (Montr̩al),75000,1972,VE,PCI,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14264242,45.56182128,-73.64412127,Ahuntsic-Cartierville (Montr̩al),284900,1986,AP,COP,70,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0
14318717,45.53333959,-73.67910217,Ahuntsic-Cartierville (Montr̩al),249000,2011,AP,COP,62,5,2,0,1,0,0,4,1,0,0,0,0,0,0,0
14347790,45.53262892,-73.67998616,Ahuntsic-Cartierville (Montr̩al),259000,2011,AP,COP,54,9,2,0,1,0,0,1,1,0,0,0,0,0,0,0
14378593,45.578783,-73.650771,Ahuntsic-Cartierville (Montr̩al),495000,1980,AP,COP,86,7,3,0,2,1,0,3,2,0,0,0,0,0,0,0
14403549,45.534309,-73.670808,Ahuntsic-Cartierville (Montr̩al),479000,2000,ME,UNI,76,10,4,1,2,1,0,3,2,0,0,0,0,0,0,0
14403551,45.5333885,-73.68390541,Ahuntsic-Cartierville (Montr̩al),599000,1962,MPM,UNI,51,12,5,0,2,1,0,2,2,2,0,0,0,0,0,19200
14433990,45.5247356,-73.73172641,Ahuntsic-Cartierville (Montr̩al),699000,2007,PP,UNI,46,14,4,0,3,1,0,2,2,0,0,0,0,0,0,36912
14465693,45.55315577,-73.66147141,Ahuntsic-Cartierville (Montr̩al),369000,2009,AP,COP,90,7,3,1,1,0,0,0,1,0,0,0,0,0,0,35820
14496919,45.53705447,-73.71050329,Ahuntsic-Cartierville (Montr̩al),424900,1954,PP,UNI,58,10,4,0,2,0,0,2,2,0,0,0,0,0,0,0
14564086,45.539849,-73.653703,Ahuntsic-Cartierville (Montr̩al),165000,,C,PCI,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14590594,45.53683353,-73.67638058,Ahuntsic-Cartierville (Montr̩al),187000,1986,AP,COP,70,6,2,0,1,0,0,3,1,0,0,0,0,0,0,29640
14594972,45.5269062,-73.72320426,Ahuntsic-Cartierville (Montr̩al),836000,1956,PP,UNI,60,11,5,1,3,2,0,0,1,1,0,0,0,0,0,25800
14601208,45.57267668,-73.65996023,Ahuntsic-Cartierville (Montr̩al),380000,1979,ME,UNI,70,13,6,0,2,0,0,0,1,0,0,0,0,0,0,0
14637702,45.55208782,-73.67075632,Ahuntsic-Cartierville (Montr̩al),349000,1926,AP,COP,90,8,3,0,1,0,0,0,1,0,0,0,0,0,0,21600
14670757,45.568394,-73.64544,Ahuntsic-Cartierville (Montr̩al),459000,1963,2X,PPR,84,5,2,0,1,0,0,0,1,0,0,0,0,0,0,0
14756036,45.56430032,-73.64706217,Ahuntsic-Cartierville (Montr̩al),359000,1983,AP,COP,78,7,3,0,1,1,0,1,1,0,0,0,0,0,0,0
14769567,45.551315,-73.654618,Ahuntsic-Cartierville (Montr̩al),198637,,AP,COP,83,4,2,0,1,0,0,0,0,0,0,0,0,0,0,83160
