id,address,lat,lng
2500,"222 Rue Dominion App. 140 Montreal",45.483547,-73.572372
2501,"1960 Rue Augustin-Cantin Montreal",45.483336,-73.564609
2502,"50 Ste-Marguerite Street Condo 202 Montreal",45.501689,-73.567256
2503,"6765 Boulevard De La V�renderie App. 3 Montreal",45.501689,-73.567256
2504,"2040 Rue Saint-Jacques Appt. 8 Montreal",45.487455,-73.573428
2505,"101 Rue de L�vis App. 1 Montreal",45.501689,-73.567256
2506,"745 Bourget Street Montreal",45.481386,-73.584793
2507,"2840 Rue St-Charles App. 103 Montreal",45.477280,-73.572765
2508,"5600 Briand Montreal",45.462845,-73.596973
2509,"1964 rue Augustin-Cantin Apt. 202 Montreal",45.483311,-73.564650
2510,"4250 Rue Saint-Ambroise Condo 214 Montreal",45.501689,-73.567256
2511,"2348 Rue St-Jacques Montreal",45.485668,-73.576447
2512,"4150 Rue St-Ambroise App. 114 Montreal",45.474283,-73.581028
2513,"1974 rue Augustin-Cantin Montreal",45.483248,-73.564754
2514,"765 Bourget Street Condo 202 Montreal",45.501689,-73.567256
2515,"5206 Rue Notre-Dame Ouest Montreal",45.469375,-73.593179
2516,"2100 Rue Saint-Jacques App. 7 Montreal",45.487223,-73.573615
2517,"2345 Grand Trunk # 8 Montreal",45.479072,-73.565112
2518,"624 Boulevard Georges-Vanier Montreal",45.486113,-73.573425
2519,"4150 Rue St-Ambroise Condo 409 Montreal",45.501689,-73.567256
2520,"216-4300, St-Ambroise Montreal",45.473731,-73.582071
2521,"2800-B Rue Saint-Patrick App. 304 Montreal",45.478483,-73.573387
2522,"2855, rue Centre, app. 211 Montreal",45.476545,-73.572855
2523,"2800, rue B St-Patrick, app. 204 Montreal",45.478483,-73.573387
2524,"2499, rue Duvernay, app. 102 Montreal",45.482373,-73.574592
2525,"735, avenue Greene Montreal",45.483148,-73.582046
2526,"715, avenue Atwater Montreal",45.484565,-73.579929
2527,"5730, rue Laurendeau, app. 4 Montreal",45.460718,-73.587997
2528,"6063, rue Hamilton Montreal",45.457583,-73.597880
2529,"765, rue Bourget, app. 501 Montreal",45.481740,-73.585101
2530,"1788, rue du canal, unit� 106 Montreal",0.000000,0.000000
2531,"1860, rue Mullins, app. 3 Montreal",45.480972,-73.561207
2532,"2080, rue St-Jacques, app. 5 Montreal",45.487817,-73.573321
2533,"2505, rue Duvernay, condo 202 Montreal",45.501689,-73.567256
2534,"8-6855, rue Lacroix Montreal",45.448881,-73.602001
2535,"1828 Ave. Woodland Montreal",45.453403,-73.589887
2536,"2240, rue notre-dame ouest, app. 301 Montreal",45.484623,-73.572171
2537,"209-4300, rue St-Ambroise Montreal",45.473731,-73.582071
2538,"228, rue Charlevoix Montreal",45.481792,-73.574624
2539,"1984, rue Augustin-Cantin, app. 401 Montreal",45.483185,-73.564858
2540,"314-4150, Ste-Ambroise Montreal",45.474283,-73.581028
2541,"2650, rue St-Jacques Montreal",45.484039,-73.579135
2542,"2667, Rufus Rockhead 7 Montreal",45.480663,-73.574370
2543,"634, rue Saint-Philippe, app. 4 Montreal",45.476576,-73.587496
2544,"4150, rue St-Ambroise Montreal",45.474283,-73.581028
2545,"633A ave. Atwater Montreal",45.483117,-73.579031
2546,"2420, rue Knox Montreal",45.477376,-73.563951
2547,"1840, rue Mullins, condo 3 Montreal",45.501689,-73.567256
2548,"754, avenue Atwater Montreal",45.484617,-73.580167
2549,"267, rue Charlevoix, app. 201 Montreal",45.482067,-73.574921
2550,"2511, rue Duvernay, app. 202 Montreal",45.482280,-73.574873
2551,"1661, rue Notre Dame O., app. 302 Montreal",45.489617,-73.567858
2552,"2460, Ste-Cunegonde, app. 214 Montreal",45.481732,-73.573540
2553,"1850, rue Mullins, app. 2 Montreal",45.481085,-73.561114
2554,"2069, rue Galt Montreal",45.462985,-73.591582
2555,"117-4250, rue St-Ambroise Montreal",45.473629,-73.581800
2556,"5250, rue St-Ambroise, app. 4 Montreal",45.467550,-73.593374
2557,"2165 De Villiers Montreal",45.461598,-73.593628
2558,"5650 Laurendeau Montreal",45.461892,-73.587979
2559,"5652 Laurendeau Montreal",45.461781,-73.587948
2560,"1960, Rue Wellington,Apt.6,Montreal,QC Montreal",45.479698,-73.558557
2561,"1155 d'argenson Montreal",45.476907,-73.571124
2562,"2511 rue Duvernay Montreal",45.482280,-73.574873
2563,"2434-B Rue de Chateauguay  Unit� 3 Montreal",45.501689,-73.567256
2564,"4150, rue Saint-Ambroise, condo 408 Montreal",45.501689,-73.567256
2565,"2835 rue St-Charles, app. 302 Montreal",45.477503,-73.572856
2566,"5200 Saint-Ambroise Montreal",45.467910,-73.592509
2567,"104-1971, Centre Montreal",45.482153,-73.563581
2568,"2481 Ryde Montreal",45.476246,-73.564357
2569,"303-1175, rue d'Argenson Montreal",45.477068,-73.571307
2570,"2075 Avenue de l'Eglise #205 Montreal",45.463953,-73.592028
2571,"2360 rue Workman Montreal",45.484218,-73.574214
2572,"54, rue Sainte-Marguerite, apt. 202 Montreal",45.473148,-73.582027
2573,"4150 St-Ambroise #404 Montreal",45.474283,-73.581028
2574,"1967 rue Centre #203 Montreal",45.482196,-73.563536
2575,"115 rue Saint-Marguerite  App. 1 Montreal",45.440133,-73.680105
2576,"5170 Rue St-Ambroise App.4 Montreal",45.468104,-73.591998
2577,"58, rue Sainte-Marguerite #201 Montreal",45.473182,-73.582149
2578,"790 Rose-de-Lima #248 Montreal",45.481990,-73.584795
2579,"01223 rue Charlevoix  Unit� 208 Montreal",45.501689,-73.567256
2580,"4150 St-Ambroise app 415 Montreal",45.474283,-73.581028
2581,"4200 rue St-Ambroise  Appt. 105 Montreal",45.474261,-73.581169
2582,"201-2399 Duvernay Montreal",45.482999,-73.573572
2583,"6535 rue Laurendeau  Appt. 2 Montreal",45.454051,-73.589498
2584,"1790, rue du Canal Montreal",45.485043,-73.565743
2585,"108 Vinet Montreal",45.481819,-73.572678
2586,"6019 Hamilton app 5 Montreal",45.458174,-73.598106
2587,"2400 Ste-Cun�gonde apt. 501 Montreal, Quebec Montreal",45.482308,-73.572603
2588,"2493 Duvernay #1 Montreal",45.482422,-73.574467
2589,"2324 Duvernay Montreal",45.483361,-73.572684
2590,"2420 rue Knox  Apt. 302 Montreal",45.477376,-73.563951
2591,"6-5160, rue Saint-Ambroise Montreal",45.468088,-73.591993
2592,"2260 Notre-Dame O app1 Montreal",45.484461,-73.572462
2593,"5190-4 St-Ambroise Montreal",45.467905,-73.592403
2594,"2214, Rue Duvernay Montreal",45.484050,-73.571420
2595,"11 Charlevoix app 209 Montreal",45.480948,-73.573306
2596,"2687 Rufus-Rockhead, Apt 6 Montreal",45.480489,-73.574638
2597,"201 - 2455, rue Ste-Cun�gonde Montreal",45.482197,-73.573091
2598,"1601 rue Notre-Dame Ouest #102 Montreal",45.489935,-73.567591
2599,"2515, Rue Jolicoeur, Apt 202 Montreal",45.456821,-73.596495
2600,"6035 Hamilton, app 5 Montreal",45.457974,-73.598029
