id,address,lat,lng
107,"83, rue Roger Pilon Montreal",45.492765,-73.817980
108,"24, rue Buttonwood Montreal",45.496124,-73.829568
109,"119 Louis Riel Street Montreal",45.482273,-73.814225
110,"210 Rue Touzin Montreal",45.441753,-73.769073
111,"640, Avenue Dawson Montreal",45.441100,-73.735747
112,"226, cercle Malcolm Montreal",45.442477,-73.765009
113,"227, avenue Dahlia Montreal",45.442412,-73.733348
114,"169, rue Beauchemin Montreal",45.507417,-73.865223
115,"324 rue Ren� Mass� Montreal",45.501689,-73.567256
116,"140 rue Colombier Montreal",45.497281,-73.879191
117,"519 Rue Macquet Montreal",45.496989,-73.872561
118,"19, rue Proulx Montreal",45.500075,-73.864641
119,"154, rue Beauchemin Montreal",45.507933,-73.866156
120,"258, rue Joncaire Montreal",45.594817,-73.566024
121,"479, croissant Boyer Montreal",45.499928,-73.876059
122,"625, rue Lacombe Montreal",45.493867,-73.880448
123,"3247 L�on-Brisebois Montreal",45.495803,-73.867485
124,"282 rue Soupras Montreal",45.496094,-73.865054
125,"3248 rue L�on-Brisebois Montreal",45.495699,-73.867224
126,"644, St-Malo Est Montreal",45.502679,-73.867961
127,"228 Laurier Montreal",45.525410,-73.590642
128,"229, rue Saint-Raphael Montreal",45.503542,-73.905521
129,"237, rue Barette Montreal",45.507567,-73.870924
130,"411, rue Marcelin Montreal",45.506119,-73.864627
131,"280, rue Ouimet Montreal",45.489201,-73.876881
132,"3027, chemin Cherrier Montreal",45.505947,-73.861030
133,"308, rue Alphonse Desjardins Montreal",45.503066,-73.901411
134,"143, rue Beauchemin Montreal",45.507717,-73.867891
135,"315, rue L�o-Grenier Montreal",45.508914,-73.867579
136,"3195, rue L�on-Brisebois Montreal",45.498021,-73.865433
137,"975, rue Bellevue Montreal",45.505996,-73.865439
138,"130, rue Dubuisson Montreal",45.494106,-73.878455
139,"416, rue Closse Montreal",45.492005,-73.870881
140,"3208, rue L�on-Brisebois Montreal",45.497312,-73.866186
141,"405 Rue de la Prunelle Montreal",45.465990,-73.546527
142,"180, rue Terry Fox Montreal",45.465288,-73.540280
143,"28 Dufferin Montreal",45.478966,-73.630965
144,"6, place Colbert Montreal",45.662790,-73.498202
145,"325, place Terry Fox Montreal",45.464874,-73.539833
146,"12 Renaud Montreal",45.454918,-73.841109
147,"74, rue Acres Montreal",45.462731,-73.847383
148,"30, rue Lafford Montreal",45.445963,-73.884711
149,"30, rue des Hirondelles Montreal",45.438766,-73.893895
150,"122, rue Terry Fox Montreal",45.465702,-73.540800
151,"79, rue Granada Montreal",45.464618,-73.854263
152,"9, place Smiley Montreal",45.439242,-73.883560
153,"144, rue Jacques Chan Montreal",45.447081,-73.887147
154,"98, rue Macdonald Montreal",45.518555,-73.531034
155,"34, rue de Cherbourg Montreal",45.447812,-73.849753
156,"26, rue de Calais Montreal",45.446069,-73.833833
157,"4315, rue Sherbrooke Montreal",45.444921,-73.704601
158,"825 50e Avenue Montreal",45.445465,-73.712467
159,"635, 49e avenue Montreal",45.442895,-73.711244
160,"735, 36 avenue Montreal",45.522547,-73.610465
161,"260, 50e Avenue Montreal",45.440002,-73.711471
162,"3450, rue Broadway Montreal",45.437249,-73.695185
163,"1165, rue Sherbrooke Montreal",45.444952,-73.674853
164,"770, 13e Avenue Montreal",45.443514,-73.675706
165,"2960, Terrasse Js Aime Ashby Montreal",45.446342,-73.690467
166,"255, 49e Avenue Montreal",45.439912,-73.710839
167,"2505, rue Saint-Antoine Montreal",45.439850,-73.686455
168,"764, 13e avenue Montreal",45.443408,-73.675720
169,"265, 9e avenue Montreal",45.435611,-73.671693
170,"140, avenue Boyer Montreal",45.444997,-73.649877
171,"785, 46e Avenue Montreal",45.444421,-73.708154
172,"870, 39e avenue Montreal",45.445961,-73.700369
173,"805, 50e avenue Montreal",45.445125,-73.712414
174,"785, 39e avenue Montreal",45.444496,-73.700364
175,"63, 50e avenue Montreal",45.438694,-73.711486
176,"11-8e avenue Montreal",45.637939,-73.489126
177,"2182 rue Emile-Nelligan Montreal",45.433104,-73.633459
178,"415 Louis-Fortier Montreal",45.432790,-73.649056
179,"2492 Avenue Dollard Montreal",45.434076,-73.638917
180,"324 1iere Avenue Montreal",45.458386,-73.568756
181,"120, avenue Strathyre Montreal",45.429312,-73.659484
182,"67, rue Strathyre Montreal",45.428084,-73.659442
183,"2188 Avenue Mercier Montreal",45.597272,-73.517405
184,"2280, rue St-Cl�ment Montreal",45.559895,-73.540243
185,"3105, rue Anne Hebert Montreal",45.588250,-73.536728
186,"7680, rue Fonteneau Montreal",45.596116,-73.542016
187,"7183 Pierre Gadois Montreal",45.596674,-73.568552
188,"1125 De Bruxelles Montreal",45.588116,-73.510276
189,"6067, Rue Alfred-Pellan Montreal",45.578439,-73.548614
190,"8371 Place Fonteneau Montreal",45.602293,-73.537551
191,"2400, rue Louis-Veuillot Montreal",45.571239,-73.535722
192,"2995, rue Curatteau Montreal",45.592917,-73.532037
193,"6100, rue Alfred Pellan Montreal",45.578787,-73.548146
194,"2375, avenue de Lorimier Montreal",45.530616,-73.562397
195,"4840, rue Adam Montreal",45.556878,-73.532020
196,"639, avenue Rougemont Montreal",45.568084,-73.524168
197,"1324, rue de Bruxelles Montreal",45.588226,-73.511118
198,"2461, avenue Haig Montreal",45.582239,-73.529565
199,"3170, rue Du Quesne Montreal",45.576605,-73.544106
200,"5580, rue Louis Dumouchel Montreal",45.601005,-73.542479
201,"1799, rue Montcalm Montreal",45.520392,-73.560632
202,"3519 Lorne Montreal",45.507427,-73.576266
203,"2700, rue Hill Park Montreal",45.496938,-73.600273
204,"1795 de la Visitation Montreal",45.521347,-73.559881
205,"2920, Terrase Thomas Valin Montreal",45.538601,-73.549761
206,"772, rue Lusignan Montreal",45.492776,-73.570664
207,"561-563, rue Bourgeoys Montreal",45.480045,-73.557498
208,"816 Saint-Ferdinand Montreal",45.477951,-73.588985
209,"5314, rue Notre-Dame OUest Montreal",45.468855,-73.594492
210,"2429, rue Rozel Montreal",45.475761,-73.562845
211,"231, rue Delinelle Montreal",45.472333,-73.586437
212,"5190, rue Sainte-Marie Montreal",45.468741,-73.592583
213,"1526, rue Springland Montreal",45.454039,-73.585193
214,"350, rue Saint-Philippe Montreal",45.475619,-73.585448
215,"2475 rue St-Charles Montreal",45.479813,-73.569023
216,"5059 Ste-Clotilde Montreal",45.470525,-73.592401
217,"2263, rue Coursol Montreal",45.487589,-73.576756
218,"391, rue de la Congr�gation Montreal",45.481303,-73.554028
219,"169, rue Bourget Montreal",45.478400,-73.579125
220,"1501, rue Holy Cross Montreal",45.456499,-73.583802
221,"1695, avenue de l'�glise Montreal",45.463639,-73.586153
222,"2718 Reading Montreal",45.475502,-73.566983
223,"1126, rue Shearer Montreal",45.482438,-73.561516
224,"6690, rue Hamilton Montreal",45.451569,-73.595593
225,"6568 rue Briand Montreal",45.453323,-73.593046
226,"2551 de Chateauguay Unit 201 Montreal",45.478020,-73.568350
227,"285, avenue Beverley Montreal",45.524251,-73.640850
228,"640, avenue Inverness Montreal",45.507728,-73.659392
229,"18 Henley Montreal",45.515238,-73.636575
230,"7405 De Tilly Montreal",45.512830,-73.635445
231,"31, rue Henley Montreal",45.479264,-73.818431
232,"81, avenue Simcoe Montreal",45.516574,-73.635023
233,"7345, rue Maynard Montreal",45.510681,-73.636507
234,"152, avenue Balfour Montreal",45.521588,-73.640971
235,"6345 Boulevard Gouin Est Montreal",45.623995,-73.626439
