id,address,lat,lng
7601,"12280, rue Marcelle-Gauvreau Montreal",45.659726,-73.551950
7602,"10195, croissant Harriet Tubman Montreal",45.658877,-73.554231
7603,"12247, avenue Fernand Gauthier Montreal",45.632604,-73.600495
7604,"12177, 63e avenue Montreal",45.654455,-73.560347
7605,"12272, avenue Charles Renard Montreal",45.637171,-73.591913
7606,"12308, rue Voltaire Montreal",45.661619,-73.548290
7607,"12040, avenue Primat Par� Montreal",45.501689,-73.567256
7608,"12555, 48e Avenue Montreal",45.652555,-73.577163
7609,"11642, rue Maude-Abbott Montreal",45.624950,-73.594673
7610,"12232 Boulevard Armand-Bombardier Montreal",45.635865,-73.594718
7611,"12316 Rue Ren� Masson Montreal",45.501689,-73.567256
7612,"12625 Rue Edmond Archambault Montreal",45.629309,-73.615522
7613,"12192 Rue Adrien Hébert Montreal",45.628650,-73.601064
7614,"4787 Avenue 8eme Montreal",45.618331,-73.596445
7615,"4255 Rue Du Canadien-Pacifique Montreal",45.547230,-73.562740
7616,"6540 Avenue 23ieme Montreal",45.563456,-73.580138
7617,"5119 Boul. Rosemont Montreal",45.571029,-73.564818
7618,"5586 Wilbrod Paquin Montreal",45.577554,-73.564767
7619,"3341, Ave Mont-Royal Montreal",45.539042,-73.568786
7620,"4698 Avenue 5 Montreal",45.545134,-73.567285
7621,"4778, 7i�me Avenue Montreal",45.501689,-73.567256
7622,"3829, rue Rachel Est Montreal",45.551903,-73.556640
7623,"4717, 6e avenue Montreal",45.545935,-73.567333
7624,"3020, rue Gilford Montreal",45.546931,-73.567513
7625,"4375, avenue Du Midway Montreal",45.546305,-73.564362
7626,"6581, rue Louis-Hemon Montreal",45.547649,-73.594544
7627,"4235, rue Canadien-Pacifique Montreal",45.547201,-73.562653
7628,"3136, rue Rina-Lasnier Montreal",45.544957,-73.566210
7629,"4331, rue Joilette Montreal",45.550762,-73.561974
7630,"6402, 23e avenue Montreal",45.562570,-73.577441
7631,"4758 , 6 ieme avenue Montreal",45.497880,-73.964887
7632,"3220 Claude-Jodoin Montreal",45.547657,-73.566281
7633,"4718 7e avenue Montreal",45.546384,-73.567047
7634,"3567 Mont Royal Est Montreal",45.551122,-73.562662
7635,"4788 8e avenue Montreal",45.546940,-73.567321
7636,"3341 william-tremblay Montreal",45.547500,-73.562156
7637,"3177 de la Fonderie Montreal",45.546430,-73.563489
7638,"4408 boul. St-Michel Montreal",45.548360,-73.564294
7639,"3202 Claude-Jodoin Montreal",45.547329,-73.566600
