id,address,lat,lng
5000,"10, Brises du Fleuve, app. 606 Montreal",45.461726,-73.562128
5001,"3192 Rue De Rushbrooke Montreal",45.470633,-73.565410
5002,"1005, Rue Allard ap.4 Montreal",45.446605,-73.578325
5003,"3640 Rue Evelyn Montreal",45.467189,-73.569798
5004,"5 Rue de la Poudriere, Unit 105 Montreal",45.472591,-73.568405
5005,"1114  Desmarchais Montreal",45.454670,-73.579408
5006,"3188 Rue De Rushbrooke Montreal",45.470636,-73.565409
5007,"4046 Evelyn Montreal",45.463573,-73.570125
5008,"4042 Evelyn Montreal",45.463595,-73.570005
5009,"106-2, rue Galt Montreal",45.461774,-73.562195
5010,"4002 Rue Gertrude Montreal",45.463907,-73.568954
5011,"4317 Rue De Verdun Montreal",45.460984,-73.571546
5012,"114 5e Avenue Montreal",45.456007,-73.566166
5013,"505-20, all�e des Brises du Fleuve Montreal",45.460808,-73.561402
5014,"4044, rue �velyn Montreal",45.501689,-73.567256
5015,"106-23, rue de la Poudri�re Montreal",45.471602,-73.567846
5016,"3-4011, rue Gertrude Montreal",45.463829,-73.569246
5017,"201-1015, rue de l'�glise Montreal",45.463235,-73.576498
5018,"3711 Lasalle Montreal",45.467339,-73.566256
5019,"205-2075, avenue de l'�glise Montreal",45.463953,-73.592028
5020,"3965, rue Evelyn Montreal",45.464364,-73.570223
5021,"101-23, rue de la Poudri�re Montreal",45.471602,-73.567846
5022,"530, rue Gibbons Montreal",45.474269,-73.569932
5023,"3400, rue de Verdun Montreal",45.469701,-73.570719
5024,"603-4600, boulevard Lasalle Montreal",45.458217,-73.563336
5025,"3996, rue Gertrude Montreal",45.464013,-73.568942
5026,"4015, rue Cool Montreal",45.464027,-73.577925
5027,"401-3251, rue de Rushbrooke Montreal",45.470078,-73.566093
5028,"8-600, rue Osborne Montreal",45.451323,-73.572699
5029,"5-3770, boulevard Lasalle Montreal",45.466177,-73.565678
5030,"106-962, rue Moffat Montreal",45.450098,-73.576169
5031,"1049, rue Rielle Montreal",45.460612,-73.577704
5032,"302-390, rue Caisse Montreal",45.470435,-73.567450
5033,"106-208, rue de la Poudri�re Montreal",45.472921,-73.568644
5034,"184, rue Rielle Montreal",45.460082,-73.566113
5035,"350, rue Caisse Montreal",45.470667,-73.567239
5036,"1027, rue Rielle Montreal",45.460587,-73.577219
5037,"3725, boulevard Lasalle Montreal",45.467339,-73.566256
5038,"310 Rue Caisse # 402 Montreal",45.470495,-73.566557
5039,"401-3201, rue Rushbrooke Montreal",45.470389,-73.565899
5040,"101-3301, rue de Rushbrooke Montreal",45.469776,-73.566273
5041,"3568 Evelyn Montreal",45.468113,-73.569621
5042,"106-811, rue Rielle Montreal",45.460458,-73.574297
5043,"3969, rue Evelyn Montreal",45.464326,-73.570090
5044,"4400 Blv Champlain app. 111 Montreal",45.460454,-73.578943
5045,"78, 2e Avenue Montreal",45.431948,-73.592499
5046,"107-4400, boulevard Champlain Montreal",45.460454,-73.578943
5047,"1-3849, rue Newmarch Montreal",45.465584,-73.574514
5048,"201- 503, rue Brassard Montreal",45.473272,-73.569835
5049,"4043, rue Cool Montreal",45.463387,-73.577844
5050,"6-525, rue Gibbons Montreal",45.474143,-73.569541
5051,"F-3030, boulevard Lasalle Montreal",45.473734,-73.570215
5052,"3724, rue Evelyn Montreal",45.466541,-73.569765
5053,"106-17, rue de la Poudri�re Montreal",45.471711,-73.568035
5054,"4942, rue Wellington Montreal",45.456257,-73.567589
5055,"42, 4e avenue Montreal",45.456611,-73.564846
5056,"103-3940, rue Claude Montreal",45.464708,-73.573233
5057,"631, rue de l'�glise Montreal",45.463120,-73.571819
5058,"3920, rue Joseph Montreal",45.464830,-73.572215
5059,"1053, rue Willibrord Montreal",45.459732,-73.578064
5060,"104, rue Galt Montreal",45.461832,-73.564685
5061,"4020, rue Evangeline Montreal",45.463944,-73.579757
5062,"322-4400, boulevard Champlain Montreal",45.460454,-73.578943
5063,"202-3965, avenue Bannantyne Montreal",45.464487,-73.575738
5064,"343, rue Caisse Montreal",45.470711,-73.567004
5065,"162, rue Galt Montreal",45.461858,-73.565467
5066,"3944, rue Lanouette Montreal",45.464907,-73.576582
5067,"306-5070, rue Bannantyne Montreal",45.456047,-73.576166
5068,"3-530, rue Gibbons Montreal",45.474269,-73.569932
5069,"103-503, rue Brassard Montreal",45.473272,-73.569835
5070,"1040, 6�me Avenue Montreal",45.455440,-73.578073
5071,"514, 1�re avenue Montreal",45.439565,-73.664561
5072,"206-5070, rue Bannantyne Montreal",45.456047,-73.576166
5073,"402-800, rue Gordon Montreal",45.461213,-73.574395
5074,"1-3940, rue �vang�line Montreal",45.501689,-73.567256
5075,"453, rue Brault Montreal",45.447694,-73.571608
5076,"3721, boulevard Lasalle Montreal",45.467339,-73.566256
5077,"3919, rue Evelyn Montreal",45.464754,-73.570230
5078,"4-4011, rue Gertrude Montreal",45.463829,-73.569246
5079,"204-4455A, rue Wellington Montreal",45.459473,-73.567514
5080,"3-1355, rue Leclair Montreal",45.439637,-73.587355
5081,"3-501, rue Rielle Montreal",45.460406,-73.570646
5082,"106-4455, rue Wellington Montreal",45.459473,-73.567514
5083,"47, 3e avenue Montreal",45.431427,-73.592551
5084,"4033, rue Cool Montreal",45.463387,-73.577844
5085,"625, rue De L'Eglise Montreal",45.463117,-73.571785
5086,"3732, boulevard Lasalle Montreal",45.466635,-73.565961
5087,"114 5e Avenue Montreal",45.456007,-73.566166
5088,"4011, rue Cool Montreal",45.464014,-73.577943
5089,"D-3030, boulevard Lasalle Montreal",45.473734,-73.570215
5090,"325, rue Gordon Montreal",45.461228,-73.568749
5091,"3030, boulevard Lasalle Montreal",45.473734,-73.570215
5092,"402-350, rue Caisse Montreal",45.470667,-73.567239
5093,"704, rue Manning Montreal",45.449301,-73.574686
5094,"301-20, all�e des Brises du Fleuve Montreal",45.460808,-73.561402
5095,"3477 De Rushbrooke # 204 Montreal",45.468871,-73.566886
5096,"4326 D, rue Wellington Montreal",45.460662,-73.567192
5097,"3026, rue de Rushbrooke Montreal",45.472202,-73.564192
5098,"3414 Gertrude Montreal",45.469464,-73.568543
5099,"3648, rue Evelyn Montreal",45.467189,-73.569798
5100,"5431, rue Bannantyne Montreal",45.452937,-73.576796
5101,"5435, rue Bannantyne Montreal",45.452881,-73.576627
5102,"201-5030, avenue Bannantyne Montreal",45.456277,-73.576063
5103,"133, avenue Desmarchais Montreal",45.454697,-73.566681
5104,"3028, rue de Rushbrooke Montreal",45.472172,-73.564218
5105,"4973, avenue Bannantyne Montreal",45.456273,-73.576308
5106,"402-330, rue Caisse Montreal",45.470686,-73.567170
5107,"3995, avenue Bannantyne Montreal",45.464128,-73.575601
5108,"3188 rushbrooke Montreal",45.473307,-73.563514
5109,"351, rue Caisse Montreal",45.470672,-73.567317
5110,"149, rue Willibrord Montreal",45.459301,-73.565619
5111,"3477 Rushbrooke App. 207 Montreal",45.468758,-73.567140
5112,"3862, chemin Gertrude Montreal",45.465537,-73.568894
5113,"702-2, rue Galt Montreal",45.461774,-73.562195
5114,"104-503, rue Brassard Montreal",45.473272,-73.569835
5115,"917, rue de l'�glise Montreal",45.463263,-73.575115
5116,"375, rue Gordon Montreal",45.461137,-73.569484
5117,"983, rue de l'�glise Montreal",45.463210,-73.575724
5118,"3658, rue Evelyn Montreal",45.467189,-73.569798
5119,"323, 2e avenue Montreal",45.433396,-73.599925
5120,"3477 DE RUSHBROOKE APT 206 Montreal",45.468871,-73.566886
5121,"3184, rue de Rushbrooke Montreal",45.470638,-73.565408
5122,"104-5050, rue Bannantyne Montreal",45.456169,-73.576144
5123,"3683, rue de Verdun Montreal",45.467209,-73.571090
5124,"101-300, rue Caisse Montreal",45.470462,-73.566345
5125,"308-3995, avenue Bannantyne Montreal",45.464128,-73.575601
5126,"3-437, rue Galt Montreal",45.462156,-73.570337
5127,"8-3730, rue de Verdun Montreal",45.466698,-73.570848
5128,"5-3920, rue Joseph Montreal",45.464830,-73.572215
5129,"501-2, rue Galt Montreal",45.461774,-73.562195
5130,"82, rue Galt Montreal",45.461677,-73.564464
5131,"495, rue Brault Montreal",45.447775,-73.572611
5132,"4029, rue Cool Montreal",45.463924,-73.577934
5133,"3697 Rue De Verdun Montreal",45.467123,-73.571164
5134,"453 rue Brault Montreal",45.447694,-73.571608
5135,"45 Avenue 3e Montreal",45.431526,-73.592495
5136,"995 Godin Montreal",45.447706,-73.577937
5137,"3477 Rue Rushbrooke App. 307 Montreal",45.468758,-73.567140
5138,"3930 Rue Ross Montreal",45.464436,-73.565732
5139,"100 Rue Rhéaume Condo 412 Montreal",45.501689,-73.567256
5140,"3516 Rue verdun Montreal",45.468631,-73.570813
5141,"3164 Rue de Rushbrooke Montreal",45.471027,-73.565021
5142,"290 rue Régina #102 Montreal",45.467092,-73.567454
5143,"100 Rue Rheaume App. 209 Montreal",45.467478,-73.563956
5144,"4400 Boulevard Champlain App. 214 Montreal",45.460454,-73.578943
5145,"4993 Rue Bannantyne Montreal",45.456174,-73.576563
5146,"3271 Rue de Rushbrooke App. 401 Montreal",45.469936,-73.566166
5147,"353 Caisse Street Montreal",45.470656,-73.567370
5148,"3552 Rue Evelyne Montreal",45.468217,-73.569610
5149,"377 Rue Caisse Montreal",45.470471,-73.568009
5150,"7140 Avenue du parc Condo 15 Montreal",45.501689,-73.567256
5151,"200 Rue Faillon Ouest App. 301 Montreal",45.533227,-73.624045
5152,"8010 Rue Henri-Julien App. C Montreal",45.540955,-73.628679
5153,"55, rue Moli�re, app. 412 Montreal",45.536353,-73.620187
5154,"55 Rue Moli�re App. 111 Montreal",45.536353,-73.620187
5155,"55, rue Moli�re, app. 116 Montreal",45.536353,-73.620187
5156,"7060 Rue Hutchison Montreal",45.529101,-73.620946
5157,"55 Rue Moli�re Condo 115 Montreal",45.501689,-73.567256
5158,"7421 Rue St-Andr� Montreal",45.501689,-73.567256
5159,"1420 Rue tillemont App. 102 Montreal",45.549694,-73.618179
5160,"7060 Rue Hutchison App. 513 Montreal",45.529101,-73.620946
5161,"7704 Rue Marquette Condo 3 Montreal",45.501689,-73.567256
5162,"7140 Avenue du Parc Condo 12 -14 Montreal",45.501689,-73.567256
5163,"7060, rue Hutchison, condo 105 Montreal",45.501689,-73.567256
5164,"188 Rue Faillon Ouest App. 102 Montreal",45.533788,-73.623719
5165,"7080 Rue Hutchison App. 605 Montreal",45.529344,-73.621946
5166,"70 Rue Moli�re Unit 401 Montreal",45.536683,-73.619771
5167,"70 Rue Moli�re App. 306 Montreal",45.536683,-73.619771
5168,"114-7060, rue Hutchison Montreal",45.529101,-73.620946
5169,"164 Faillon Ouest app.401 Montreal",45.534597,-73.623221
5170,"7060 Rue Hutchison App. 217 Montreal",45.529101,-73.620946
5171,"7060 Rue Hutchison Condo 103 Montreal",45.501689,-73.567256
5172,"7140 Avenue Parc Condo 16 Montreal",45.501689,-73.567256
5173,"8355 Rue Berri Montreal",45.544528,-73.632982
5174,"8490 Avenue Casgrain Montreal",45.541685,-73.636619
5175,"7906 Drolet Montreal",45.541043,-73.626778
