Municipality,Population,Variation,Density,avgAge,below15,below24,below44,below64,below65,AvgIncome,below50000,below80000,below100000,below150000,above150001,avgSize,totalHouse,size1,size2,size3,size4,size5,totalFam,Children,NoChildren,Single,Unemploy,Owner,Renter,totaldwelling,before1960,before1980,before1990,before2000,before2005,before2011,Single,Semi,Duplex,Buildings,Mobile,belowBach,Bach,abvBach,University,College,Secondary,Apprentice,No,NonImmigrant,Immigrant,french,English,Others
Montrí©al-Nord,83868,0,7591,41,18,12,26,25,19,41295,71,22,5,3,0,2.3,34975,36,29,15,17,3,21150,41,30,29,13,28,72,35010,33,59,7,1,1,1,8,5,77,10,0,4,6,2,12,12,25,16,35,60,40,66,8,26
Montrí©al-Ouest,5085,-2,3615,39,19,16,19,33,13,131090,25,19,7,17,32,2.8,1850,18,32,18,30,2,1475,54,30,16,9,76,24,1845,87,13,0,0,0,0,44,22,35,0,0,4,26,25,55,15,16,4,10,76,24,14,78,8
Outremont,23566,3,6114,39,21,14,23,25,17,87966,29,23,9,9,30,2.3,9440,34,31,14,16,5,5885,46,36,18,4,54,46,9400,75,15,3,3,2,2,7,14,58,20,1,6,22,32,60,14,17,2,7,74,26,66,17,17
Pierrefonds-Roxboro,68410,5,2533,38,19,14,25,29,13,74628,34,26,13,17,10,2.7,24880,24,28,18,27,3,18810,53,30,17,7,72,28,24890,16,41,20,10,8,5,52,13,31,5,0,6,17,9,32,19,25,9,15,61,39,32,47,21
Pointe-Claire,30790,2,1631,43,15,13,20,31,21,85569,36,22,12,17,13,2.5,12065,29,31,16,22,2,8445,49,36,15,6,72,28,12065,42,27,16,6,6,3,55,17,10,17,1,6,21,13,40,19,22,8,11,73,27,20,69,11
RiviíÂre-des-Prairies/Pointe-aux-Trembles,106437,3,2515,41,15,14,24,31,16,64459,43,26,12,15,4,2.4,42185,28,32,17,20,3,29690,44,35,21,7,63,37,42275,12,29,35,13,5,6,25,24,46,5,0,4,8,2,14,16,26,17,27,77,23,72,16,12
Rosemont/La Petite-Patrie,134045,1,8458,40,13,11,36,26,14,48216,63,22,7,6,2,1.8,71705,49,30,11,9,1,31425,34,44,22,8,28,72,71120,60,25,7,4,2,2,2,3,90,5,0,5,19,12,36,17,18,11,18,77,23,83,6,11
Saint-Lí©onard,75700,6,5614,41,18,10,28,24,20,50213,61,26,6,4,3,2.4,30485,29,31,17,20,3,21065,46,34,20,11,37,63,30655,12,72,7,3,2,4,6,3,84,6,1,4,12,5,21,15,23,13,28,53,47,41,23,36
Saint-Laurent,93842,11,2194,39,19,12,30,23,16,61534,50,24,8,9,9,2.5,35960,29,28,17,23,3,24775,52,31,17,10,48,52,36005,30,35,12,7,7,9,11,14,46,29,0,7,20,13,40,15,21,7,17,46,54,37,26,37
Sainte-Anne-de-Bellevue,5073,-2,480,42,16,15,23,28,18,80746,40,18,12,15,15,2.4,1965,32,31,15,21,1,1245,49,34,17,11,59,41,1965,38,16,14,22,9,1,45,18,34,3,0,8,16,17,41,18,22,8,11,80,20,35,58,7
Senneville,920,-4,123,44,16,12,17,33,22,196315,27,21,6,15,31,2.6,350,18,41,14,25,2,295,44,46,10,4,86,14,350,63,25,12,0,0,0,92,4,4,0,0,5,26,18,49,21,15,7,8,72,28,32,66,2
Verdun/í_le-des-Soeurs,66158,0,6810,41,13,11,33,28,15,59026,54,22,7,7,10,2,32660,42,34,13,11,0,17135,34,45,21,8,36,64,32665,54,19,13,6,4,4,4,7,70,20,0,6,19,15,40,15,19,9,17,76,24,65,21,14
Ville-Marie,81990,9,6033,39,7,17,39,24,13,45580,66,18,5,5,6,1.7,46940,55,31,8,5,1,15965,26,57,17,10,24,76,47075,40,31,11,6,5,7,1,2,50,46,1,6,25,20,51,14,18,6,11,57,43,54,27,19
Villeray/Saint-Michel/Parc-Extension,142222,0,8624,38,17,12,34,24,13,41402,71,21,5,3,0,2.2,63540,39,29,14,15,3,35455,42,33,25,12,26,74,63525,61,31,4,2,1,1,4,2,91,3,0,4,13,8,25,15,21,11,28,54,46,54,9,37
Westmount,19931,-3,4953,44,15,13,20,29,23,195213,34,16,8,12,30,2.2,8640,37,31,13,18,1,5200,45,41,14,6,50,50,8635,66,24,8,2,0,0,12,29,21,38,0,7,27,32,66,10,15,3,6,67,33,19,72,9
